Name,Image,AC Bonus,Base AC,ST Ability,ST Bonus,ST Factor,Immunity,Resistance,Abilities,Ability Bonus,Ability Max,Additional HP,Skills,Skill Bonus,Skill Factor,Movement,Critical Chance,AR Types,AR Bonus,AR Factor,Attack Type,Weapon DMG,Weapon DMG Type,Death ST Factor,Ability Check,Ability Check Bonus,Ability Check Factor,Spell Save DC Bonus,Vulnerability,Immune to Conditions,Cant Move,Cant Act,Cant React,Initiative,Opponent AR Type,Opponent AR Factor,Darkvision,Skill Proficiency,Temporary HP,Ignore,DONE,Description
Adamantine Reverberation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"While it has temporary hit points, this creature's movement speed is doubled. Immediately after losing these temporary hit points, the creature knocks back foes  4 m / 13 ft with a shockwave that deals 4d8Thunder."
Adrip with Kereska's Acid,,,,,,,,Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Affected entity has resistance to Acid damage. Its acid spells deal additional damage equal to its proficiency bonus. When it deals spell damage, it possibly inflict 3 turns of  Noxious Fumes upon the target. While attuned to Kereska's acid it can cast  Melf's Acid Arrow and  Hunger of Hadar at 5th level once per short rest."
Adroit Caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Cantrips targeting foes and allies can target an additional creature. The same target can be chosen twice.
Aegis of the Absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,The Netherbrain is Immune to all types of damage it took in the previous round until the start of its next turn.
Against All Odds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"The unlikely actions of the party in the Morphic Pool were a surprise to even the Netherbrain. The successful roll has left the Netherbrain wounded, reducing its starting HP for the encounter."
Agitated,,,,,,,,,,,,,,,,,,,,ADV,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,The rothé is nervous and afraid - ready to attack at the slightest scare. Has  Advantage on Attack rolls.
Aid (5),,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Hit point maximum increased by 5 hit points. Hit point maximum increases by a further 5hit points for every Spell Slot Level above 2 used.
Aid (10),,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Hit point maximum increased by 10 hit points.
Aid (15),,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Hit point maximum increased by 15 hit points.
Aid (20),,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Hit point maximum increased by 20 hit points.
Aid (25),,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Hit point maximum increased by 25 hit points.
Alarmed Debtor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,This creature has spotted you as an intruder.
Alcohol,,,,,,,,,,,,,"Acrobatics, Sleight of Hand, Stealth, Arcana, Deception, Intimidation, Performance, Persuasion",,DIS,,,,,,,,,,"DEX, CHA",,DIS,,,,,,,,,,,,,FALSE,TRUE,Has  Disadvantage on Dexterity and Charisma checks.
Alternate Form: Dire Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Transformed into a Dire Wolf in all the ways that matter.
Alternate Form: Minotaur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Transformed into a Minotaur in all the ways that matter.
Alternate Form: Phase Spider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Transformed into a Phase Spider in all the ways that matter.
Alternate Form: Shadow Mastiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Transformed into a Shadow Mastiff in all the ways that matter.
Ambushed,,,,,,,,,,,,,"Athletics, Acrobatics, Sleight of Hand, Stealth, Arcana",,DIS,,,,,,,,,,"DEX, STR",,DIS,,,,,,,,,ADV,,,,FALSE,TRUE,Attack Rolls against the affected entity have  Advantage and it has  Disadvantage on Strength and Dexterity Checks. Taking damage or being Helped ends this condition.
Ambushing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Affected entity will attack as soon as its enemies are within reach. It can only be spotted with a successful Perception Check.
Ambushing Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,The creature's next bite may  Ambush its target.
Ancient Grudges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Filled with a touch of arcane gith knowledge. Has  Advantage on Attack Rolls against aberrations.
Animalistic Vitality,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Affected entity regains 2d8hit points of health every round when below 60 HP. It also receives an additional  3.5 m / 12 ft of movement speed. 
Anointed in Splendour,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Has a +2 bonus to all Saving throw Saving throws.
Ansur's Ire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,A storm of vicious lightning is soon to erupt - striking all standing in the open.
Aquatic Siphon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,A nearby water myrmidon grants the affected entity Immunity to Cold damage and an additional 3d8Cold damage to  Elemental Retort. The affected entity also gains temporary access to  Cone of Cold and an additional  Reaction per turn.
Arcane Acuity,,,,,,,,,,,,,,,,,,"Melee Spell, Ranged Spell",1,,,,,,,,,1,,,,,,,,,,,,FALSE,TRUE,Affected entity has a +1 bonus to its spell Attack rolls and spell save DC for each remaining turn. Reduce the duration by 2 each time the entity takes damage. Arcane Acuity has a maximum  Duration: 10 turns.
Arcane Ammunition,,,,,,,,,,,,,,,,,,,,,Ranged,1d4,Force,,,,,,,,,,,,,,,,,FALSE,TRUE,Ranged weapon attacks deal an additional 1d4Force.
Arcane Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Affected entity's next spell doesn't cost a spell slot in order to cast.
Arcane Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"While damaging  Threatened entities, deal +2 bonus to damage with spells."
Arcane Critical,,,,,,,,,,,,,,,,,+2,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,The number you need to roll a Critical Hit while attacking is reduced by 2. This effect can stack.
Arcane Hunger,,,,CON,,DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Gale's spirit is being drained. He has  Disadvantage to Constitution  Saving throws.
Arcane Lock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Locked through magical means. Can't be opened by lockpicking or the use of  Knock.
Arcane Synergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Weapon attacks deal additional damage equal to affected entity's Spell Casting Ability Modifier.
Arcane Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Your Arcane Ward blocks damage equal to its charges and then loses 1 charge. Casting Abjuration spells will add charges equal to the level of the spell.
Ardent Apostle,,,,,,,,,,,,,"Performance, Intimidation",4,,,,,,,,,,,,+10,,,,,,,,,,,,,,FALSE,TRUE,Offering their cries of pain without protection. Has a +4 bonus to Performance and Intimidation checks.
Armour of Agathys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Gained  5 × spell level temporary hit points. If hit with a melee attack, the attacker takes 5 × spell levelCold damage. This effect ends when the temporary hit points are lost."
Armour of the Swarm,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Your swarm grants you a +2 bonus to your  Armour Class until the start of your next turn.
Arms of Hadar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Can't take  Reactions.
Arrow of Ilmater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Cannot regain Hit Points
Arsonist's Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Affected entity has been stripped of its Fire Resistance.
Ascended Fiend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Raphael has gorged on souls and enhanced his fiendish powers, granting him an even deadlier array of spells and abilities. In this form,  Soul Overcharge will not prevent him from using Souls to cast spells."
Aspect of the Elk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Movement Speed increased by  +1.5 m / 5 ft, as long as the affected entity stays near the barbarian."
Aspect of the Elk Aura,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Affected entity and nearby allies have a  +1.5 m / 5 ft bonus to Movement Speed.
Aspect of the Stallion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Gained Barbarian Level * 2  temporary hit points.
Aspect of the Wolf,,,,,,,,,,,,,Stealth,DEX,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,"Affected entity has a +Dexterity Modifier bonus to Stealth Checks, as long as it stays near the barbarian."
Aspect of the Wolf Aura,,,,,,,,,,,,,Stealth,DEX,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Affected entity and nearby allies have a +Dexterity Modifier bonus to Stealth Checks.
Assassin's Blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Creature must succeed a Constitution  Saving throw or take 1d12Poison and get Poisoned until the next Long Rest. On a successful save, it still takes half damage."
Astral Conduit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,FALSE,TRUE,"The affected entity can't move, take actions, bonus actions, or reactions while holding open the Astral Rift, but can Summon an ally every other turn."
Astral Gravity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Gravity on the Astral Plane is different than on Faerûn. The affected entity is Immune to Falling damage and its Jump distance is tripled. Carrying capacity is tripled.
Astral Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Has Proficiency in all Skills of a chosen Ability.
Astral Knowledge: Charisma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Has Proficiency in Deception, Intimidation, Performance, and Persuasion."
Astral Knowledge: Dexterity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Has Proficiency in Acrobatics, Sleight of Hand, and Stealth."
Astral Knowledge: Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Has Proficiency in Arcana, History, Investigation, Nature, and Religion."
Astral Knowledge: Strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Has Proficiency in Athletics.
Astral Knowledge: Wisdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Has Proficiency in Animal Handling, Insight, Medicine, Perception, and Survival."
At Death's Door (Emergent),,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,"Emergent Toxic Infection. Strength, Dexterity, Constitution, Intelligence, Charisma, and Wisdom are reduced by 2. The more the creature rests, the worse it feels."
At Death's Door,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"The more the creature rests, the worse it feels."
At Death's Door (Moderate),,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,"Moderate Toxic Infection. Strength, Dexterity, Constitution, Intelligence, Charisma, and Wisdom are reduced by 4. The more the creature rests, the worse it feels."
At Death's Door (Advanced),,,,,,,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,"Advanced Toxic Infection. Strength, Dexterity, Constitution, Intelligence, Charisma, and Wisdom are reduced by 6. The more the creature rests, the worse it feels."
Atrophied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"One of the affected entity's Abilities has been reduced to 0, causing it to die instantly."
Auntie Ethel's Special Brew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,The affected creature takes 2d6Poison at the start of every turn until passing a DC 13  Constitution saving throw.
Aura of Bloodthirst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Any nearby creatures with the Rampage trait can make a bite attack as a bonus action.
Aura of Brutality,,,,,,,,,STR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,All servants of  Bane around this character gain an additional +1 Strength. This effect can stack.
Aura of Conquest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Frightened enemies within  3 m / 10 ft take 5Psychic damage per turn.
Aura of Courage (Aura),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frightened,,,,,,,,,,FALSE,TRUE,The paladin and any nearby allies can't be  Frightened.
Aura of Courage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frightened,,,,,,,,,,FALSE,TRUE,Can't be  Frightened within  3 m / 10 ft of the spellcaster.
Aura of Devotion (Aura),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charmed,,,,,,,,,,FALSE,TRUE,The paladin and any nearby allies can't be  Charmed.
Aura of Devotion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charmed,,,,,,,,,,FALSE,TRUE,Can't be  Charmed within  3 m / 10 ft of the spellcaster.
Aura of Hate (Aura),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"The Paladin and all nearby fiends and undead deal additional damage with melee weapons, equal to the Charisma modifier of the Paladin."
Aura of Hate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Deals an additional +Charisma modifier to damage dealt with melee weapons within  3 m / 10 ft of the spellcaster.
Aura of Murder (Aura),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piercing,,,,,,,,,,,TRUE,FALSE,"Enemies within 3 m / 10 ft are Vulnerable to Piercing damage, unless they are Immune to it."
Aura of Murder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Affected entity is Vulnerable to Piercing damage.
Aura of Possibility,,,,,,,,,,,,,,10,,,,,,,,,,,,+10,,,,,,,,,,,,,,FALSE,TRUE,"While near the God of Ambition, this creature has a +10 bonus to all Ability Checks."
Aura of Possibility (Aura),,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,"Any allies near Gale Dekarios, the God of Ambition, receive a +10 bonus to all Ability Checks."
Aura of Protection (Aura),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,The paladin and any nearby allies have a +Charisma modifier bonus on Saving Throws.
Aura of Protection,,,,,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Gains a bonus to saving throws equal to the charisma modifier of the creature emanating the aura.
Aura of Terror (Aura),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Nearby enemies have  Disadvantage on Attack rolls and  Saving throws. Creatures that can't be  Frightened are immune to this aura.
Aura of Terror,,,,,,DIS,,,,,,,,,,,,,,DIS,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Bane's oppressive aura gives the affected entity  Disadvantage on attack rolls and  Saving throws while within  3 m / 10 ft of the spellcaster.
Aura of Vile Oblivion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,All nearby light sources get extinguished when the Wraith is nearby.
Aura of Warding (Aura),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,The paladin and any nearby allies have Resistance to damage from spells.
Aura of Warding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Resistant to damage from spells within  3 m / 10 ft of the spellcaster.
Avatar of BOOOAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,The sight of a kuo-toa servant dying fills BOOOAL with bloodlust. It regains 3d6hit points when it kills a creature and can attack three times.
Avatar of Tyranny,,,,STR,,ADV,"Fire, Force, Thunder",,,,,,Athletics,,ADV,,,,,,,1d4,Slashing,,STR,,ADV,,,,,,,,,,,,150,FALSE,TRUE,"Bane has come to Gortash's aid! Gortash has  150 temporary hit points,  Advantage on  Strength checks and  Strength saving throws... And now has fearsome new powers! Affected entity gains an extra 1d4Physical damage to weapon attacks and Immunity to Thunder, Fire, and Force damage."
Aversion of Fire,,,,,,,,,,,,,,,DIS,,,,,DIS,,,,,,,DIS,,,,,,,,,,,,,FALSE,TRUE,Recently suffered Fire damage. Has  Disadvantage on Attack Rolls and Ability Checks.
Baleful Knowledge,,,,,,,,,,,,,"Animal Handling, Insight, Medicine, Perception, Survival",,DIS,,,,,,,,,,WIS,,DIS,,,,,,,,,,,,,FALSE,TRUE,Dark whispers pervade the creature's mind.  Disadvantage on Wisdom Checks.
Bane,,,,,-1d4,,,,,,,,,,,,,,-1d4,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Has a  -1d4 penalty to  Attack rolls and Saving throws.
Bane's Brutality,,,,,,,,,STR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Affected entity gains +1 to its Strength ability. This effect can stack.
Bane's Command,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,This creature can channel  Bane's Wrath - it is the Black Hand's will.
Baneful Strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Affected entity has a -1d4 penalty to  Saving throws against its attacker's next spell.
Banished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,FALSE,TRUE,"Banished from this plane of existence. Can't be targeted. Can't move or take Actions, Bonus Actions, or Reactions"
Bardic Inspiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Can use  Bardic Inspiration to add a +1d6 bonus to the next Attack roll,  Ability check, or  Saving throw. Bonus depends on originating Bard's level Grants:  Bardic Roll (Toggleable Passive Feature): +1d6 bonus to the next  Ability check.  Bardic Defence (Reaction): +1d6 bonus to the next  Saving throw.  Bardic Attack (Reaction): +1d6 bonus to the next Attack roll."
Barkskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Armour Class increased to 16.
Beacon of Hope,,,,WIS,,ADV,,,,,,,,,,,,,,,,,,ADV,,,,,,,,,,,,,,,,FALSE,TRUE,Has Advantage on Wisdom and Death  Saving throws. Regains the maximum possible Hit Points when healed.
Bear's Endurance,,,,,,,,,,,,,,,,,,,,,,,,,CON,,ADV,,,,,,,,,,,,7,FALSE,TRUE,Has  Advantage on Constitution Checks. Gain 7 Temporary Hit Points.
Beckoning Darkness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Haunted by darkness. Affected entity takes 2d8Necrotic damage if it enters or starts its turn in a Lightly or Heavily Obscured area.
Befuddled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Affected entity can't control its actions and wanders around without direction.
Beguiled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,This creature has been charmed by Raphael and cannot target him with attacks or spells.
Bend Luck: Ability Check Bonus,,,,,,,,,,,,,,1d4,,,,,,,,,,,,1d4,,,,,,,,,,,,,,FALSE,TRUE,Wild magic has twisted the affected entity's fate. It gained a +1d4 bonus to  Ability Checks.
Bend Luck: Ability Check Penalty,,,,,,,,,,,,,,-1d4,,,,,,,,,,,,-1d4,,,,,,,,,,,,,,FALSE,TRUE,Wild magic has twisted the affected entity's fate. It gained a -1d4 penalty to  Ability Checks.
Benign Transposition: Spent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Affected entity has used its  Benign Transposition feature for the day. To replenish this feature, the entity must cast a Conjuration spell of Level 1 or higher."
Berserk,,,,STR,,ADV,,"Slashing, Bludgeoning, Piercing",,,,,Athletics,,ADV,,,,,,,1d8,Bludgeoning,,STR,,ADV,,,,,,,,,,,,,FALSE,TRUE,"A frenetic rage racks the affected entity's flesh. Its Multiattacks each deal an additional 1d8Bludgeoning damage and knocks targets  Prone It also gains Resistance to Slashing, Piercing, and Bludgeoning damage, and has  Advantage on Strength Checks and Saving Throws. This frenzy ends if the affected entity regains all its hit points."
Bhaal's Boon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Bhaal revels in the affected entity's gift for murder, granting it a +1 bonus to  Armour Class per marked kill. 1 point of this bonus Armour Class is lost each time the Slayer avoids an attack."
Bhaal's Edict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"If you don't kill another creature before the end of your next turn, you will die instantly."
Bhaal's Murderous Mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Affected entity's death grants a +1  Armour Class bonus to the Slayer.
