 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"L
V
L",,"L
V
L",,,,,,,,,,HEALING,DAMAGE,,,,,ADDITIONAL,SAVE,,,,,,,,,,,,,,,,:)
"
",0,FALSE,0,MINOR ILLUSION,Minor Illusion,MINOR ILLUSION,,ILLU,,,,,,,18m,,,,CONTROL,FALSE,,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,
"
",0,FALSE,0,POISON SPRAY,Poison Spray,POISON SPRAY,,CONJ,,,,,1D12 / 2D12 / 3D12,POISON,3m,,,,,FALSE,CON,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,
"
",0,FALSE,0,PRODUCE FLAME,Produce Flame,PRODUCE FLAME,,CONJ,,,,,1D8 / 2D8 / 3D8,FIRE,Self,,,1,,FALSE,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",0,FALSE,0,RAY OF FROST,Ray of Frost,RAY OF FROST,,EVOC,,,,,1D8 / 2D8 / 3D8,COLD,18m,,"RAY OF 
FROST",1,,FALSE,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,,
"
",0,FALSE,0,RESISTANCE,Resistance,RESISTANCE,,ABJU,,,,,,,1.5m,,,10,SAVES,FALSE,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"
",0,FALSE,0,SACRED FLAME,Sacred Flame,SACRED FLAME,,EVOC,,,,,1D8 / 2D8 / 3D8,RADIANT,18m,,,,,FALSE,DEX,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,
"
",0,FALSE,0,SHILLELAGH,Shillelagh,SHILLELAGH,,TRAN,,,,,"(1D8 / 2D8 / 3D8) 
+ WIS",BLUDGEON,Self,,,10,,FALSE,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",0,FALSE,0,SHOCKING GRASP,Shocking Grasp,SHOCKING GRASP,,EVOC,,,,,1D8 / 2D8 / 3D8,LIGHTNING,1.5m,,"SHOCKING
GRASP",1,,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,,
"
",0,FALSE,0,THAUMATURGY,Thaumaturgy,THAUMATURGY,,TRAN,,,,,,,Self,,THAUMATURGY,10,SKILLS,FALSE,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",0,FALSE,0,THORN WHIP,Thorn Whip,THORN WHIP,,TRAN,,,,,1D6 / 2D6 / 3D6,PIERCING,9m,,,,,FALSE,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",0,FALSE,0,TOLL THE DEAD,Toll the Dead,TOLL THE DEAD,,NECR,,,,,"1D8 / 2D8 / 3D8
1D4 / 2D4 / 3D4 
IF FULL LIFE",NECROTIC,18m,,,,,FALSE,WIS,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
"
",0,FALSE,0,TRUE STRIKE,True Strike,TRUE STRIKE,,DIVI,,,,,,,18m,,,2,ADVANTAGE,FALSE,,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,
"
",0,FALSE,0,VICIOUS MOCKERY,Vicious Mockery,VICIOUS MOCKERY,,ENCH,,,,,1D4 / 2D4 / 3D4,PSYCHIC,18m,,"VICIOUS
MOCKERY",1,,FALSE,WIS,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
"
",1,FALSE,1,ANIMAL FRIENDSHIP,Animal Friendship,ANIMAL FRIENDSHIP,,ENCH,,,,,,,18m,,CHARMED,10,,FALSE,,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",1,FALSE,1,ARMOUR OF AGATHYS,Armour of Agathys,ARMOUR OF AGATHYS,,ABJU,,,,,5*level WHEN HIT,COLD,Self,,,LR,"TEMP HP 
(5*level)",FALSE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"
",1,FALSE,1,ARMS OF HADAR,Arms of Hadar,ARMS OF HADAR,,CONJ,,,,,1D6 + 1D6*level,NECROTIC,Self,3m,"ARMS OF 
HADAR",1,,TRUE,STR,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"
",1,FALSE,1,BANE,Bane,BANE,,ENCH,,,,,,,9m,9m,BANE,10,,FALSE,,1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",1,FALSE,1,BLESS,Bless,BLESS,,ENCH,,,,,,,9m,9m,BLESS,10,SAVES,FALSE,,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",1,FALSE,1,BURNING HANDS,Burning Hands,BURNING HANDS,,EVOC,,,,,2D6 + 1D6*level,FIRE,Self,5m (C),,,,TRUE,DEX,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,
"
",1,FALSE,1,CHARM PERSON,Charm Person,CHARM PERSON,,ENCH,,,,,,,18m,,CHARMED,10,,FALSE,,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,
"
",1,FALSE,1,CHROMATIC ORB,Chromatic Orb,CHROMATIC ORB,,EVOC,,,,,"

1D8 + 1D8*level


2D8 + 1D8*level","ACID
COLD
FIRE
LIGHTNING
POISON
THUNDER",18m,,,,,FALSE,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,,
"
",1,FALSE,1,COLOUR SPRAY,Colour Spray,COLOUR SPRAY,,ILLU,,,,,,,Self,5m (C),BLINDED,1,CONTROL,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
"
",1,FALSE,1,COMMAND,Command,COMMAND,,ENCH,,,,,,,18m,,,1,CONTROL,FALSE,WIS,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,
"
",1,FALSE,1,COMPELLED DUEL,Compelled Duel,COMPELLED DUEL,,ENCH,,,,,,,9m,,"COMPELLED 
DUEL",3,,FALSE,WIS,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
"
",1,FALSE,1,CREATE OR DESTROY WATER,Create or Destroy Water,CREATE OR DESTROY WATER,,TRAN,,,,,,,9m,9m,,3,,FALSE,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
"
",1,FALSE,1,CURE WOUNDS,Cure Wounds,CURE WOUNDS,,EVOC,,,,,1D8*level,,1.5m,,,,HEALING,FALSE,,,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,
"
",1,FALSE,1,DISGUISE SELF,Disguise Self,DISGUISE SELF,,ILLU,,,,,,,Self,,DISGUISE SELF,LR,,FALSE,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,
"
",1,FALSE,1,DISSONANT WHISPERS,Dissonant Whispers,DISSONANT WHISPERS,,ENCH,,,,,2D6 + 1D6*level,PSYCHIC,18m,,FRIGHTENED,2,CONTROL,TRUE,WIS,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,
"
",1,FALSE,1,DIVINE FAVOUR,Divine Favour,DIVINE FAVOUR,,EVOC,,,,,,,18m,,,3,,FALSE,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",1,FALSE,1,ENHANCE LEAP,Enhance Leap,ENHANCE LEAP,,TRAN,,,,,,,1.5m,,JUMP,10,,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,
"
",1,FALSE,1,ENSNARING STRIKE,Ensnaring Strike,ENSNARING STRIKE,,CONJ,,,,,1D6*level,PIERCING,,,ENSNARED,,CONTROL,FALSE,STR,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",1,FALSE,1,ENTANGLE,Entangle,ENTANGLE,,CONJ,,,,,,,18m,6m,ENTANGLED,LR,CONTROL,FALSE,STR,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",1,FALSE,1,EXPEDITIOUS RETREAT,Expeditious Retreat,EXPEDITIOUS RETREAT,,TRAN,,,,,,,Self,,"EXPEDITIOUS
RETREAT",LR,,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,
"
",1,FALSE,1,FAERIE FIRE,Faerie Fire,FAERIE FIRE,,EVOC,,,,,,,18m,6m,FAIRIE FIRE,10,,FALSE,DEX,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"
",1,FALSE,1,FALSE LIFE,False Life,FALSE LIFE,,NECR,,,,,,,Self,,,LR,"TEMP HP
(2 + 5*level)",FALSE,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
"
",1,FALSE,1,FEATHER FALL,Feather Fall,FEATHER FALL,,TRAN,,,FALSE,,,,Self,9m,FEATHER FALL,10,,FALSE,,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
"
",1,FALSE,1,FIND FAMILIAR,Find Familiar,FIND FAMILIAR,,CONJ,,,,,,,18m,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,
"
",1,FALSE,1,FOG CLOUD,Fog Cloud,FOG CLOUD,,CONJ,,,,,,,18m,6m,BLINDED,,CONTROL,TRUE,,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,
"
",1,FALSE,1,GOODBERRY,Goodberry,GOODBERRY,,TRAN,,,,,1D4,,1.5m,,,,HEALING,FALSE,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",1,FALSE,1,GREASE,Grease,GREASE,,CONJ,,,,,,,18m,5m,PRONE,1,CONTROL,FALSE,DEX,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,
"
",1,FALSE,1,GUIDING BOLT,Guiding Bolt,GUIDING BOLT,,EVOC,,,,,2D6 + 1D6*level,RADIANT,18m,,GUIDING BOLT,2,,FALSE,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
"
",1,FALSE,1,HAIL OF THORNS,Hail of thorns,HAIL OF THORNS,,CONJ,,,,,1D10*level,PIERCING,"Weapon
Range",2m,,,,TRUE,DEX,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",1,FALSE,1,HEALING WORD,Healing Word,HEALING WORD,,EVOC,,,,,1D4*level,,18m,,,,HEALING,FALSE,,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
"
",1,FALSE,1,HELLISH REBUKE,Hellish Rebuke,HELLISH REBUKE,,EVOC,,,,,1D10 + 1D10*level,FIRE,Self,,,,,TRUE,DEX,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"
",1,FALSE,1,HEROISM,Heroism,HEROISM,,ENCH,,,,,,,1.5m,,"HEROISM
FRIGHTENED",10,"TEMP HP
(5 PER TURN)",FALSE,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",1,FALSE,1,HEX,Hex,HEX,,ENCH,,,,,1D6,NECROTIC,18m,,,,,FALSE,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"
",1,FALSE,1,HUNTER'S MARK,Hunter's Mark,HUNTER'S MARK,,DIVI,,,,,1D6,PIERCING,18m,,,LR,,FALSE,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",1,FALSE,1,ICE KNIFE,Ice Knife,ICE KNIFE,,CONJ,,,,,"1D10 
1D6 + 1D6*level","PIERCING
COLD",18m,2m,,,,TRUE,DEX,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
"
",1,FALSE,1,INFLICT WOUNDS,Inflict Wounds,INFLICT WOUNDS,,NECR,,,,,2D10 + 1D10*level,NECROTIC,1.5m,,,,,FALSE,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
"
",1,FALSE,1,LONGSTRIDER,Longstrider,LONGSTRIDER,,TRAN,,,,,,,1.5m,,LONGSTRIDER,LR,,FALSE,,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
"
",1,FALSE,1,MAGE ARMOUR,Mage Armour,MAGE ARMOUR,,ABJU,,,,,,,1.5m,,MAGE ARMOUR,LR,,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
"
",1,FALSE,1,MAGIC MISSILE,Magic Missile,MAGIC MISSILE,,EVOC,,,,,"(2D4+2)
(1D4+1)*level",FORCE,18m,,,,,TRUE,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
"
",1,FALSE,1,PROTECTION FROM EVIL AND GOOD,Protection from Evil and Good,PROTECTION FROM EVIL AND GOOD,,ABJU,,,,,,,1.5m,,"PROTECTION FROM
EVIL AND GOOD",LR,,FALSE,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,
"
",1,FALSE,1,RAY OF SICKNESS,Ray of Sickness,RAY OF SICKNESS,,NECR,,,,,1D8 + 1D8*level,POISON,18m,,POISON,2,,FALSE,CON,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,,
"
",1,FALSE,1,SANCTUARY,Sanctuary,SANCTUARY,,ABJU,,,,,,,18m,,SANCTUARY,10,,FALSE,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",1,FALSE,1,SEARING SMITE,Searing Smite,SEARING SMITE,,EVOC,,,,,"1D6*level 
1D6 PER TURN",FIRE,"Weapon
Range",,SEARING SMITE,10,,FALSE,CON,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",1,FALSE,1,SHIELD,Shield,SHIELD,,ABJU,,,,,,,Self,,SHIELD,1,,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
"
",1,FALSE,1,SHIELD OF FAITH,Shield of faith,SHIELD OF FAITH,,ABJU,,,,,,,18m,,"SHIELD OF 
FAITH",LR,,FALSE,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",1,FALSE,1,SLEEP,Sleep,SLEEP,,ENCH,,,,,,,18m,6m,SLEEPING,2,CONTROL,FALSE,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,
"
",1,FALSE,1,SPEAK WITH ANIMALS,Speak with Animals,SPEAK WITH ANIMALS,,DIVI,,,,,,,Self,,"SPEAK WITH
ANIMALS",LR,,FALSE,,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",1,FALSE,1,TASHA'S HIDEOUS LAUGHTER,Tasha's Hideous Laughter,TASHA'S HIDEOUS LAUGHTER,,ENCH,,,,,,,18m,,"HIDEOUS 
LAUGHTER",10,,FALSE,WIS,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,
"
",1,FALSE,1,THUNDEROUS SMITE,Thunderous Smite,THUNDEROUS SMITE,,EVOC,,,,,2D6,THUNDER,"Weapon
Range",,PRONE,1,,FALSE,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",1,FALSE,1,THUNDERWAVE,Thunderwave,THUNDERWAVE,,EVOC,,,,,1D8 + 1D8*level,THUNDER,Self,5m (Cu),,,KNOCKBACK,TRUE,CON,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
"
",1,FALSE,1,WITCH BOLT,Witch Bolt,WITCH BOLT,,EVOC,,,,,"1D12*level
1d12 PER TURN*",LIGHTNING,18m,,WITCH BOLT,1,,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,
"
",1,FALSE,1,WRATHFUL SMITE,Wrathful Smite,WRATHFUL SMITE,,EVOC,,,,,1D6,PSYCHIC,"Weapon
Range",,FRIGHTENED,2,,FALSE,WIS,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",2,FALSE,2,AID,Aid,AID,,ABJU,,,,,,,Self,9m,AID,LR,,FALSE,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",2,FALSE,2,ARCANE LOCK,Arcane Lock,ARCANE LOCK,,ABJU,,,,,,,1.5m,,ARCANE LOCK,10,,FALSE,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,
"
",2,FALSE,2,BARKSKIN,Barkskin,BARKSKIN,,TRAN,,,,,,,1.5m,,BARKSKIN,LR,,FALSE,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",2,FALSE,2,BLINDNESS,Blindness,BLINDNESS,,NECR,,,,,,,18m,,BLINDED,10,CONTROL,FALSE,CON,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,
"
",2,FALSE,2,BLUR,Blur,BLUR,,ILLU,,,,,,,Self,,BLUR,10,,FALSE,,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
"
",2,FALSE,2,BRANDING SMITE,Branding Smite,BRANDING SMITE,,EVOC,,,,,1d6*level,RADIANT,"Weapon
Range",,BRANDING SMITE,1,,FALSE,CON,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",2,FALSE,2,CALM EMOTIONS,Calm Emotions,CALM EMOTIONS,,ENCH,,,,,,,18m,6m,CALMED,10,,TRUE,CHA,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"
",2,FALSE,2,CLOUD OF DAGGERS,Cloud of Daggers,CLOUD OF DAGGERS,,CONJ,,,,,"2D4*level
2D4*level PER TURN",SLASHING,18m,2m,,1,,FALSE,,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,
"
",2,FALSE,2,CROWN OF MADNESS,Crown of Madness,CROWN OF MADNESS,,ENCH,,,,,,,18m,,"CROWN OF
MADNESS",3,CONTROL,FALSE,WIS,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,
"
",2,FALSE,2,DARKNESS,Darkness,DARKNESS,,EVOC,,,,,,,18m,5m,"OBSCURED
BLINDED",,CONTROL,FALSE,,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,
"
",2,FALSE,2,DARKVISION,Darkvision,DARKVISION,,TRAN,,,,,,,1.5m,,DARKVISION,LR,,FALSE,,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,
"
",2,FALSE,2,DETECT THOUGHTS,Detect Thoughts,DETECT THOUGHTS,,DIVI,,,,,,,Self,,DETECT THOUGHTS,LR,,FALSE,,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,
"
",2,FALSE,2,ENHANCE ABILITY,Enhance Ability,ENHANCE ABILITY,,TRAN,,,,,,,1.5m,,ENHANCE ABILITY,,,FALSE,,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
"
",2,FALSE,2,ENLARGE/REDUCE,Enlarge/Reduce,ENLARGE/REDUCE,,TRAN,,,,,,,9m,,"ENLARGE
REDUCE",,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,
"
",2,FALSE,2,ENTHRALL,Enthrall,ENTHRALL,,ENCH,,,,,,,6m,,ENTHRALLED,10,,FALSE,WIS,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"
",2,FALSE,2,FLAME BLADE,Flame Blade,FLAME BLADE,,EVOC,,,,,1D6 + 1D6*level,FIRE,Self,,,10,"SUMMONED
WEAPON",FALSE,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
