,,,,,,,Casting,,,,,,,,,,,,,,,Ability,,,,,,Saving Throws,,,,,,,,
Cloaker Phantasm,Explorer,8,39,11,+8,+5,,,Resistance to Non-Magical,Resistance to Non-Magical,Resistance to Non-Magical,,,,,,Immune,Immune,Immune,,,18,16,15,12,13,14,+4,+3,+2,+1,+1,+2,"Darkvision,Ethereal",,
Cloaker Phantasm,Tactician,8,77,11,+9,+3,,,Resistance to Non-Magical,Resistance to Non-Magical,Resistance to Non-Magical,,,,,,Immune,Immune,Immune,,,20,18,15,12,13,14,+5,+4,+2,+1,+1,+2,"Alert,Darkvision,Ethereal,Incorporeal Movement",,
Illithid Arcanist,Balanced,8,55,15,+1,+3,,,,,,,Full Resistance,Full Resistance,,,,,,,,11,12,12,19,17,17,0,+1,+1,+7,+6,+6,"Empowered Evocation,Magic Resistance,Opportunity Attack","Fire Shield: Chill,Fire Shield: Warm",
Illithid Arcanist,Explorer,8,38,15,+1,+5,,,,,,,Full Resistance,Full Resistance,,,,,,,,11,12,12,19,17,17,0,+1,+1,+9,+8,+8,"Empowered Evocation,Magic Resistance,Opportunity Attack","Fire Shield: Chill,Fire Shield: Warm",
Illithid Arcanist,Tactician,8,71,15,+1,+3,,,,,,,Full Resistance,Full Resistance,,,,,,,,11,12,12,19,17,17,0,+1,+1,+7,+6,+6,"Empowered Evocation,Magic Resistance,Opportunity Attack","Fire Shield: Chill,Fire Shield: Warm",
Omeluum,Balanced,5,62,11,+1,+3,,,,,,,,,,,,,,,,11,12,12,18,16,16,0,+1,+1,+7,+6,+6,"Extra Attack,Opportunity Attack",,
Omeluum,Explorer,5,43,11,+1,+5,,,,,,,,,,,,,,,,11,12,12,18,16,16,0,+1,+1,+9,+8,+8,"Extra Attack,Opportunity Attack",,
Omeluum,Tactician,5,80,11,+1,+3,,,,,,,,,,,,,,,,11,12,12,18,16,16,0,+1,+1,+7,+6,+6,"Charm,Extra Attack,Opportunity Attack",,
Omeluum (Act Three),Balanced,8,71,15,+1,+3,,,,,,,,,,,,,,,,11,12,12,19,17,17,0,+1,+1,+4,+3,+3,,,
Omeluum (Act Three),Explorer,8,49,15,+1,+5,,,,,,,,,,,,,,,,11,12,12,19,17,17,0,+1,+1,+4,+3,+3,,,
Omeluum (Act Three),Tactician,8,92,15,+1,+3,,,,,,,,,,,,,,,,11,12,12,19,17,17,0,+1,+1,+4,+3,+3,,,
The Emperor,Balanced,12,140,18,+2,+4,,,,,,,,,,,,,,,,12,14,15,21,17,19,+1,+2,+2,+9,+7,+8,"Imperial Retaliation,Magic Resistance,Opportunity Attack, Arcane Enchantment (Staff of the Emperor)",,
The Emperor,Tactician,12,182,18,+2,+4,,,,,,,,,,,,,,,,12,14,15,21,17,19,+1,+2,+2,+9,+7,+8,"Imperial Retaliation,Magic Resistance,Opportunity Attack, Arcane Enchantment (Staff of the Emperor)",,
Fist Marcus,Balanced,6,86,17,+6,+3,,,,,,,,,,,,,,,,23,16,16,10,10,10,+9,+3,+6,0,0,0,"Dark Devotion,Extra Attack,Feral Instinct,Great Weapon Master: Bonus Attack,Opportunity Attack,Tenacity",,
Fist Marcus,Explorer,6,60,17,+6,+5,,,,,,,,,,,,,,,,23,16,16,10,10,10,+11,+3,+8,0,0,0,"Dark Devotion,Extra Attack,Feral Instinct,Great Weapon Master: Bonus Attack,Opportunity Attack,Tenacity",,
Fist Marcus,Tactician,6,195,17,+6,+3,,,,,,,,,,,,,,,,23,16,16,10,10,10,+9,+3,+6,0,0,0,"Dark Devotion,Extra Attack,Feral Instinct,Great Weapon Master: Bonus Attack,Improved Critical Hit,Opportunity Attack,Tenacity",,
Intellect Devourer,Balanced,1,21,12,+2,+2,,,,,,,,,,,,,,,,6,14,13,12,11,10,-2,+2,+1,+1,0,0,"Blindsight,Darkvision,Opportunity Attack",,
Intellect Devourer,Explorer,1,14,12,+2,+4,,,,,,,,,,,,,,,,6,14,13,12,11,10,-2,+2,+1,+1,0,0,"Blindsight,Darkvision,Opportunity Attack",,
Intellect Devourer,Tactician,1,27,12,+2,+2,,,,,,,,,,,,,,,,6,14,13,12,11,10,-2,+2,+1,+1,0,0,"Blindsight,Darkvision,Opportunity Attack",,
Intellect Glutton,Balanced,5,29,11,+1,+3,,,,Vulnerable,,,,,,,,,,,,8,12,13,12,11,10,-1,+1,+1,+1,0,0,"Blindsight,Darkvision,Fit to Burst,Opportunity Attack",,
Mind Flayer Tadpole,Balanced,7,5,10,0,+3,,,,,,Immune,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Mind Flayer Tadpole,Explorer,7,4,10,0,+5,,,,,,Immune,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Mind Flayer Tadpole,Tactician,7,6,10,0,+3,,,,,,Immune,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
The Netherbrain,Balanced,20,300,15,0,+6,INT,23,,,,,,,,,,,,,,16,10,22,28,21,24,+3,0,+12,+15,+11,+13,Psionic Retribution,"Chains of Karsus,Against All Odds",
The Netherbrain,Explorer,20,210,15,0,+8,INT,25,,,,,,,,,,,,,,16,10,22,28,21,24,+3,0,+14,+17,+13,+15,Psionic Retribution,"Chains of Karsus,Against All Odds",
The Netherbrain,Tactician,20,450,15,0,+6,INT,25,,,,,,,,,,,,,,16,10,22,28,21,24,+3,0,+12,+15,+11,+13,Psionic Retribution,"Chains of Karsus,Against All Odds,Legendary Resistance: Crowd Control",
The Netherbrain,Honour,20,450,15,0,+6,INT,25,,,,,,,,,,,,,,16,10,22,28,21,24,+3,0,+12,+15,+11,+13,Psionic Retribution,"Chains of Karsus,Against All Odds,Legendary Resistance: Crowd Control",Aegis of the Absolute
Spectral Flumph,Balanced,1,1,10,0,+2,,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,10,10,10,10,10,10,0,0,0,0,0,0,Ethereal,Exploding Flumph,
Tentacle,Balanced,3,32,12,+2,+2,,,,,,,,,,,,,,,,16,14,13,3,3,3,+3,+2,+1,-4,-4,-4,Opportunity Attack,,
Tentacle,Tactician,3,41,12,+2,+2,,,,,,,,,,,,,,,,16,14,13,3,3,3,+3,+2,+1,-4,-4,-4,Opportunity Attack,,
Us (Prologue),Balanced,1,21,12,+2,+2,,,,,,,,,,,,,,,,6,14,13,12,11,10,-2,+2,+1,+1,0,0,"Blindsight,Darkvision,Opportunity Attack",,
Us (Prologue),Explorer,1,14,12,+2,+4,,,,,,,,,,,,,,,,6,14,13,12,11,10,-2,+2,+1,+1,0,0,"Blindsight,Darkvision,Opportunity Attack",,
Us (Prologue),Tactician,1,27,12,+2,+2,,,,,,,,,,,,,,,,6,14,13,12,11,10,-2,+2,+1,+1,0,0,"Blindsight,Darkvision,Opportunity Attack",,
Us (Act Two),Balanced,4,55,12,+2,+2,INT,11,Resistance to Non-Magical,Resistance to Non-Magical,Resistance to Non-Magical,,,,,,Full Resistance,,,,,6,14,13,12,11,10,-2,+2,+1,+1,0,0,"Blindsight,Darkvision,Opportunity Attack",,
Us (Act Two),Explorer,4,76,12,+2,+4,INT,13,Resistance to Non-Magical,Resistance to Non-Magical,Resistance to Non-Magical,,,,,,Full Resistance,,,,,6,14,13,12,11,10,+2,+6,+5,+5,+4,+4,"Blindsight,Darkvision,Opportunity Attack",,
Us (Lobotomised),Balanced,4,41,12,+2,+2,INT,9,,,,,,,,,,,,,,6,14,13,8,8,10,-2,+2,+1,-1,-1,0,"Blindsight,Darkvision,Opportunity Attack",Lobotomised,
Us (Lobotomised),Explorer,4,62,12,+2,+4,INT,11,,,,,,,,,,,,,,6,14,13,8,8,10,+2,+6,+5,+3,+3,+4,"Blindsight,Darkvision,Opportunity Attack",Lobotomised,
Acid Hallucination,Balanced,6,4,17,+3,+3,,,,,,Immune,,,,,,,,,,6,17,13,11,12,14,-2,+3,+1,0,+1,+2,Darkvision,Acid Resistance Aura,
Acid Hallucination,Explorer,6,2,17,+3,+5,,,,,,Immune,,,,,,,,,,6,17,13,11,12,14,-2,+3,+1,0,+1,+2,Darkvision,Acid Resistance Aura,
Acid Hallucination,Tactician,6,5,17,+3,+3,,,,,,Immune,,,,,,,,,,6,17,13,11,12,14,-2,+3,+1,0,+1,+2,Darkvision,Acid Resistance Aura,
Grym,Balanced,10,300,18,-2,+4,STR,19,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,24,6,24,3,11,1,+7,+2,+7,-4,+4,-5,"Adamantine Skin,Darkvision,Intense Adamantine Backlash,Opportunity Attack,Vengeful Guardian",,
Grym,Explorer,10,210,18,-2,+6,STR,21,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,24,6,24,3,11,1,+7,+4,+7,-4,+6,-5,"Adamantine Skin,Darkvision,Intense Adamantine Backlash,Opportunity Attack,Vengeful Guardian",,
Grym,Tactician,10,450,18,-2,+4,STR,21,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,24,6,24,3,11,1,+7,+2,+7,-4,+4,-5,"Adamantine Skin,Darkvision,Intense Adamantine Backlash,Opportunity Attack,Vengeful Guardian",,
Grym,Honour,10,450,18,-2,+4,STR,21,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,24,6,24,3,11,1,+7,+2,+7,-4,+4,-5,"Adamantine Skin,Darkvision,Intense Adamantine Backlash,Legendary Action: Adamantine Reverberation,Opportunity Attack,Vengeful Guardian",Legendary Action: Adamantine Reverberation,Adamantine Reverberation
Agile Guardian,Balanced,3,18,14,+2,+2,,,Vulnerable,,,,,,,,,Immune,,,,10,14,8,6,8,5,0,+2,-1,-2,-1,-3,"Archery,Darkvision,Fast Movement,Opportunity Attack",,
Agile Guardian,Explorer,3,12,14,+2,+4,,,Vulnerable,,,,,,,,,Immune,,,,10,14,8,6,8,5,0,+2,-1,-2,-1,-3,"Archery,Darkvision,Fast Movement,Opportunity Attack",,
Agile Guardian,Tactician,3,23,14,+2,+2,,,Vulnerable,,,,,,,,,Immune,,,,10,14,8,6,8,5,0,+2,-1,-2,-1,-3,"Archery,Colossus Slayer,Darkvision,Fast Movement,Opportunity Attack",,
Air Elemental,Balanced,9,90,15,+5,+4,INT,10,Resistance to Non-Magical,Resistance to Non-Magical,Resistance to Non-Magical,,,,,Full Resistance,,Immune,,,Full Resistance,14,20,14,6,10,6,+2,+5,+2,-2,0,-2,"Ethereal,Opportunity Attack",,
Air Elemental,Explorer,9,180,15,+5,+6,INT,12,Resistance to Non-Magical,Resistance to Non-Magical,Resistance to Non-Magical,,,,,Full Resistance,,Immune,,,Full Resistance,14,20,14,6,10,6,+2,+5,+2,-2,0,-2,"Ethereal,Opportunity Attack",,
Chult Alioramus,Balanced,10,51,14,+1,+4,,,,,,,,,,,,,,,,19,13,17,2,12,5,+4,+1,+3,-4,+1,-3,Opportunity Attack,,
Chult Alioramus,Tactician,10,66,14,+1,+4,,,,,,,,,,,,,,,,19,13,17,2,12,5,+4,+1,+3,-4,+1,-3,"Opportunity Attack,Extra Attack",,
Chult Alioramus Colossa,Balanced,10,84,14,+1,+4,,,,,,,,,,,,,,,,19,13,17,2,12,5,+4,+1,+3,-4,+1,-3,"Extra Attack,Opportunity Attack",,
Chult Alioramus Colossa,Explorer,10,58,14,+1,+6,,,,,,,,,,,,,,,,19,13,17,2,12,5,+4,+1,+3,-4,+1,-3,"Extra Attack,Opportunity Attack",,
Chult Alioramus Colossa,Tactician,10,109,14,+1,+4,,,,,,,,,,,,,,,,19,13,17,2,12,5,+4,+1,+3,-4,+1,-3,"Extra Attack,Opportunity Attack",,
Animated Armour,Balanced,,33,18,0,,,,,,,,,,,,,Immune,Immune,,,14,11,13,1,3,1,+2,0,+1,-5,-4,-5,"Antimagic Susceptibility,Darkvision,Extra Attack,Opportunity Attack",,
Animated Armour,Explorer,,23,18,0,,,,,,,,,,,,,Immune,Immune,,,14,11,13,1,3,1,+2,0,+1,-5,-4,-5,"Antimagic Susceptibility,Darkvision,Extra Attack,Opportunity Attack",,
Animated Armour,Tactician,,42,18,0,,,,,,,,,,,,,Immune,Immune,,,16,11,13,1,3,1,+3,0,+1,-5,-4,-5,"Antimagic Susceptibility,Darkvision,Extra Attack,Opportunity Attack",,
Apostate Defender,Balanced,3,16,14,0,+2,,,Vulnerable,,,,,,,,,Immune,,,,14,10,15,6,8,5,+2,0,+2,-2,-1,-3,Opportunity Attack,,
Apostate Defender,Explorer,3,11,14,0,+4,,,Vulnerable,,,,,,,,,Immune,,,,14,10,15,6,8,5,+2,0,+2,-2,-1,-3,Opportunity Attack,,
Apostate Defender,Tactician,3,20,14,0,+2,,,Vulnerable,,,,,,,,,Immune,,,,14,10,15,6,8,5,+2,0,+2,-2,-1,-3,Opportunity Attack,,
Apostate Destroyer,Balanced,7,48,15,0,+3,,,Vulnerable,,,,,,,,,Immune,,,,18,10,17,10,14,16,+7,+3,+6,+3,+5,+6,"Opportunity Attack,Tenacity",Aura of Hate,
Apostate Destroyer,Explorer,7,33,15,0,+5,,,Vulnerable,,,,,,,,,Immune,,,,18,10,17,10,14,16,+7,+3,+6,+3,+5,+6,"Opportunity Attack,Tenacity",Aura of Hate,
Apostate Destroyer,Tactician,7,62,15,0,+3,,,Vulnerable,,,,,,,,,Immune,,,,18,10,17,10,14,16,+7,+3,+6,+3,+5,+6,"Opportunity Attack,Tenacity","Aura of Hate,Aura of Protection",
Apostate Librarian,Balanced,3,12,9,-1,+2,,,Vulnerable,,,,,,,,,Immune,,,,10,8,8,14,8,5,0,-1,-1,+4,+1,-3,Opportunity Attack,,
Apostate Librarian,Explorer,3,8,9,-1,+4,,,Vulnerable,,,,,,,,,Immune,,,,10,8,8,14,8,5,0,-1,-1,+6,+3,-3,Opportunity Attack,,
Apostate Librarian,Tactician,3,15,9,-1,+2,,,Vulnerable,,,,,,,,,Immune,,,,10,8,8,14,8,5,0,-1,-1,+4,+1,-3,Opportunity Attack,,
Apostate Sentinel,Balanced,3,14,12,+2,+2,,,Vulnerable,,,,,,,,,Immune,,,,10,14,8,6,8,5,0,+2,-1,-2,-1,-3,Opportunity Attack,,
Apostate Sentinel,Explorer,3,9,12,+2,+4,,,Vulnerable,,,,,,,,,Immune,,,,10,14,8,6,8,5,0,+2,-1,-2,-1,-3,Opportunity Attack,,
Apostate Sentinel,Tactician,3,18,12,+2,+2,,,Vulnerable,,,,,,,,,Immune,,,,10,14,8,6,8,5,0,+2,-1,-2,-1,-3,Opportunity Attack,,
Arcane Turret,Balanced,4,17,10,0,+2,,,,Full Resistance,Full Resistance,,,Full Resistance,,Vulnerable,Immune,Immune,Immune,,,10,10,10,10,10,10,0,0,0,0,0,0,,Sturdy,
Arcane Turret,Explorer,4,11,10,0,+4,,,,Full Resistance,Full Resistance,,,Full Resistance,,Vulnerable,Immune,Immune,Immune,,,10,10,10,10,10,10,0,0,0,0,0,0,,Sturdy,
Arcane Turret,Tactician,4,22,10,0,+2,,,,Full Resistance,Full Resistance,,,Full Resistance,,Vulnerable,Immune,Immune,Immune,,,10,10,10,10,10,10,0,0,0,0,0,0,,Sturdy,
Armoured Crab,Balanced,4,29,19,+2,+2,,,,,,,,Full Resistance,,,,,,,,13,15,11,1,9,3,+1,+2,0,-5,-1,-4,,,
Armoured Crab,Explorer,4,20,19,+2,+4,,,,,,,,Full Resistance,,,,,,,,13,15,11,1,9,3,+1,+2,0,-5,-1,-4,,,
Armoured Crab,Tactician,4,37,19,+2,+2,,,,,,,,Full Resistance,,,,,,,,13,15,11,1,9,3,+1,+2,0,-5,-1,-4,,,
Bernard,Balanced,5,70,19,+2,+3,STR,15,Full Resistance,Full Resistance,Full Resistance,,,Full Resistance,,Full Resistance,,Full Resistance,Full Resistance,,,18,14,16,8,10,6,+4,+2,+3,-1,0,-2,"Opportunity Attack,Overcharge",,
Bernard,Explorer,5,49,19,+2,+5,STR,17,Full Resistance,Full Resistance,Full Resistance,,,Full Resistance,,Full Resistance,,Full Resistance,Full Resistance,,,18,14,16,8,10,6,+4,+2,+3,-1,0,-2,"Opportunity Attack,Overcharge",,
Bernard,Tactician,5,91,19,+7,+3,STR,18,Full Resistance,Full Resistance,Full Resistance,,,Full Resistance,,Full Resistance,,Full Resistance,Full Resistance,,,20,14,16,8,10,6,+5,+2,+3,-1,0,-2,"Alert,Magical Plate (-1),Opportunity Attack,Overcharge",,
Bernard,Honour,5,91,19,+7,+3,STR,18,Full Resistance,Full Resistance,Full Resistance,,,Full Resistance,,Full Resistance,,Full Resistance,Full Resistance,,,20,14,16,8,10,6,+5,+2,+3,-1,0,-2,"Alert,Legendary Action: Leaping Static,Magical Plate (-1),Opportunity Attack,Overcharge",,"Leaping Static,Legendary Action: Leaping Static"
Azer,Balanced,1,39,20,+1,+2,,,,,,,,,,,,,,,,17,12,15,12,13,10,+3,+1,+2,+1,+1,0,"Permanently Armed,Opportunity Attack",,
Azer,Explorer,1,78,20,+1,+4,,,,,,,,,,,,,,,,17,12,15,12,13,10,+3,+1,+2,+1,+1,0,"Permanently Armed,Opportunity Attack",,
Bat,Balanced,1,1,16,+4,+2,,,,,,,,,,,,,,,,2,18,8,2,12,4,-4,+4,-1,-4,+1,-3,Opportunity Attack,,
Bear,Balanced,,30,12,0,,,,,,,,,,,,,,,,,19,10,16,2,13,7,+4,0,+3,-4,+1,-2,Opportunity Attack,,
Bear,Explorer,,21,12,0,,,,,,,,,,,,,,,,,19,10,16,2,13,7,+4,0,+3,-4,+1,-2,Opportunity Attack,,
Bear,Tactician,,39,12,0,,,,,,,,,,,,,,,,,19,10,16,2,13,7,+4,0,+3,-4,+1,-2,Opportunity Attack,,
Bosk,Balanced,3,19,11,0,+2,,,,,,,,,,,,,,,,15,10,14,2,12,7,+2,0,+2,-4,+1,-2,Opportunity Attack,,
Bosk,Explorer,3,13,11,0,+4,,,,,,,,,,,,,,,,15,10,14,2,12,7,+2,0,+2,-4,+1,-2,Opportunity Attack,,
Bosk,Tactician,3,24,11,0,+2,,,,,,,,,,,,,,,,15,10,14,2,12,7,+2,0,+2,-4,+1,-2,Opportunity Attack,,
Cave Bear,Balanced,5,30,12,0,+3,,,,,,,,,,,,,,,,20,10,16,2,13,7,+5,0,+3,-4,+1,-2,Opportunity Attack,,
Cave Bear,Explorer,5,21,12,0,+5,,,,,,,,,,,,,,,,20,10,16,2,13,7,+5,0,+3,-4,+1,-2,Opportunity Attack,,
Cave Bear,Tactician,5,39,12,0,+3,,,,,,,,,,,,,,,,20,10,16,2,13,7,+5,0,+3,-4,+1,-2,Opportunity Attack,,
Ormn,Balanced,3,19,11,0,+2,,,,,,,,,,,,,,,,15,10,14,2,12,7,+2,0,+2,-4,+1,-2,Opportunity Attack,,
Ormn,Explorer,3,13,11,0,+4,,,,,,,,,,,,,,,,15,10,14,2,12,7,+2,0,+2,-4,+1,-2,Opportunity Attack,,
Ormn,Tactician,3,24,11,0,+2,,,,,,,,,,,,,,,,15,10,14,2,12,7,+2,0,+2,-4,+1,-2,Opportunity Attack,,
Orsu,Balanced,3,19,11,0,+2,,,,,,,,,,,,,,,,15,10,14,2,12,7,+2,0,+2,-4,+1,-2,Opportunity Attack,,
Tuffet,Balanced,3,19,11,0,+2,,,,,,,,,,,,,,,,15,10,14,2,12,7,+2,0,+2,-4,+1,-2,Opportunity Attack,,
Tuffet,Explorer,3,13,11,0,+4,,,,,,,,,,,,,,,,15,10,14,2,12,7,+2,0,+2,-4,+1,-2,Opportunity Attack,,
Tuffet,Tactician,3,24,11,0,+2,,,,,,,,,,,,,,,,15,10,14,2,12,7,+2,0,+2,-4,+1,-2,Opportunity Attack,,
Ursa,Balanced,3,19,11,0,0,,,,,,,,,,,,,,,,15,10,14,2,12,7,+2,0,+2,-4,+1,-2,"Opportunity Attack,Prey's Scent",,
Ursa,Explorer,3,38,11,0,+2,,,,,,,,,,,,,,,,15,10,14,2,12,7,+4,+2,+4,-2,+3,0,"Opportunity Attack,Prey's Scent",,
Ursa Ingens,Balanced,11,99,18,0,+4,,,,,,,,,,,,,,,,19,10,16,2,12,7,+4,0,+3,-4,+1,-2,"Bestial Fury,Companion's Bond,Exceptional Training,Opportunity Attack,Prey's Scent",,
Ursa Ingens,Explorer,11,198,20,0,+6,,,,,,,,,,,,,,,,19,10,16,2,12,7,+10,+6,+9,+2,+7,+4,"Bestial Fury,Companion's Bond,Exceptional Training,Opportunity Attack,Prey's Scent",,
Ursa Major,Balanced,5,39,15,0,+3,,,,,,,,,,,,,,,,15,10,16,2,12,7,+2,0,+3,-4,+1,-2,"Companion's Bond,Opportunity Attack,Prey's Scent",,
Ursa Major,Explorer,5,78,17,0,+5,,,,,,,,,,,,,,,,15,10,16,2,12,7,+7,+5,+8,+1,+6,+3,"Companion's Bond,Opportunity Attack,Prey's Scent",,
Postmaster Badger,Balanced,1,16,10,0,+2,,,,,,,,,,,,,,,,14,10,15,2,12,5,+2,0,+2,-4,+1,-3,Opportunity Attack,,
Blue Jay,Balanced,1,5,12,+2,+2,,,,,,,,,,,,,,,,2,15,8,2,12,7,-4,+2,-1,-4,+1,-2,,,
Blue Jay,Explorer,1,3,12,+2,+4,,,,,,,,,,,,,,,,2,15,8,2,12,7,-4,+2,-1,-4,+1,-2,,,
Blue Jay,Tactician,1,6,12,+2,+2,,,,,,,,,,,,,,,,2,15,8,2,12,7,-4,+2,-1,-4,+1,-2,,,
Commander Lightfeather,Balanced,9,5,12,+2,+4,,,,,,,,,,,,,,,,2,15,8,2,12,7,-4,+2,-1,-4,+1,-2,,,
Commander Lightfeather,Explorer,9,3,12,+2,+6,,,,,,,,,,,,,,,,2,15,8,2,12,7,-4,+2,-1,-4,+1,-2,,,
Commander Lightfeather,Tactician,9,6,12,+2,+4,,,,,,,,,,,,,,,,2,15,8,2,12,7,-4,+2,-1,-4,+1,-2,,,
Dishevelled Chicken,Balanced,1,1,10,0,+2,,,,,,,,,,,,,,,,1,10,8,1,7,3,-5,0,-1,-5,-2,-4,,,
Dishevelled Chicken,Explorer,1,1,10,0,+4,,,,,,,,,,,,,,,,1,10,8,1,7,3,-5,0,-1,-5,-2,-4,,,
Dishevelled Chicken,Tactician,1,1,10,0,+2,,,,,,,,,,,,,,,,1,10,8,1,7,3,-5,0,-1,-5,-2,-4,,,
Scared Boar,Balanced,1,11,11,0,+2,,,,,,,,,,,,,,,,13,11,12,2,9,5,+1,0,+1,-4,-1,-3,Opportunity Attack,,
Scared Boar,Explorer,1,7,11,0,+4,,,,,,,,,,,,,,,,13,11,12,2,9,5,+1,0,+1,-4,-1,-3,Opportunity Attack,,
Scared Boar,Tactician,1,14,11,0,+2,,,,,,,,,,,,,,,,13,11,12,2,9,5,+1,0,+1,-4,-1,-3,Opportunity Attack,,
Tusk,Balanced,3,11,11,0,+2,,,,,,,,,,,,,,,,13,11,12,2,9,5,+1,0,+1,-4,-1,-3,Opportunity Attack,,
Tusk,Explorer,3,7,11,0,+4,,,,,,,,,,,,,,,,13,11,12,2,9,5,+1,0,+1,-4,-1,-3,Opportunity Attack,,
Tusk,Tactician,3,14,11,0,+2,,,,,,,,,,,,,,,,13,11,12,2,9,5,+1,0,+1,-4,-1,-3,Opportunity Attack,,
Verres,Balanced,3,11,11,0,0,,,,,,,,,,,,,,,,13,11,12,2,9,5,+1,0,+1,-4,-1,-3,"Opportunity Attack,Prey's Scent",,
Verres,Explorer,3,22,11,0,+2,,,,,,,,,,,,,,,,13,11,12,2,9,5,+3,+2,+3,-2,+1,-1,"Opportunity Attack,Prey's Scent",,
Verres,Tactician,3,11,11,0,0,,,,,,,,,,,,,,,,13,11,12,2,9,5,+1,0,+1,-4,-1,-3,"Opportunity Attack,Prey's Scent",,
