Name,Image,Permanent Conditions,Skills,Skill Bonus,Skill Factor,ST Ability,ST Bonus,ST Factor,Ability,Ability Bonus,Ability Max,Skills Proficiency,Armour Proficiency,Weapon Proficiency,Initiative,Reduce Damage Type,Reduce Damage,Darkvision,AC,AC Mod,Extra HP/Level,Actions,Spells,Cantrips,Immunity,Immune to Conditions,Movement,Expertise,Resistance,Temporary HP,Critical Chance,Attack Type,Weapon DMG,Weapon DMG Type,AR Types,AR Bonus,AR Factor,Spell Save DC,Unarmed DMG Bonus,Unarmed DMG Type,Carrying capacity,Illithid Power,Condition,Condition Duration,Condition DC,Condition Ability,ST Spell Bonus,ST Proficiency,Requirements,Jump Distance,Ignore,DONE,Desc 1,Desc 2
Accursed Spectre,,,,,,,,,,,,,,,,,,,,,,Accursed Spectre (reaction),,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Accursed Spectre is a The Hexblade warlock passive feature that raises a spectre when an enemy is killed. ,"When you or an ally within 18 m / 60 ft slay a creature that is afflicted with  Hexblade's Curse, you can raise an Accursed Spectre that will fight alongside you for a short period of time. Doesn't work with constructs, elementals, oozes, plants, or undead. "
Acolyte of Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Acolyte of Nature is a Nature Domain Cleric passive feature. It allows Cleric to learn one druid cantrip and get an additional proficiency. ,Learn one of the following Druid cantrips: Get one of the following proficiencies: 
Actor,,,,,,,,,CHA,1,20,,,,,,,,,,,,,,,,,"Deception, Performance",,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Actor is a Feat that grants bonuses to a character's ability to act. ,"You have become a true thespian. Your Charisma increases by 1, to a maximum of 20 Your  Proficiency Bonus is doubled for Deception and Performance Checks. "
Adamantine Backlash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Reeling,2 Turns,,,,,,,TRUE,FALSE,Adamantine Backlash is a passive feaure that sends a melee attacker reeling after a hit. ,"When a melee attack hits you, the attacker is sent  Reeling for 2 turns. Reeling creatures have a -1 penalty to Attack rolls for every turn remaining. "
Adamantine Shield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Reeling,2 Turns,,,,,,,TRUE,FALSE,Adamantine Shield is a passive feature that sends attacks reeling. ,"When a melee attack misses you, the attacker is sent  Reeling for 2 turns. Reeling creatures have a -1 penalty to Attack rolls for every turn remaining. "
Adamantine Skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Adamantine Skin is a passive feature of Grym. It renders Grym invulnerable to all types of damage until weakened with intense heat. ,"Made entirely from adamantine, this mass is about as heavy as a dragon, and nearly as indestructible. Only intense heat can soften the metal enough to be shaped.  "
Adaptable Skullduggery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Adaptable Skullduggery is a passive feature that allows the user to perform Sneak Attacks with any weapon. ,"This creature can perform a Sneak Attack with any weapon, not only those marked as Finesse. "
Additional Spell Slot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Additional Spell Slot is a passive feature that gives you an extra spell slot. ,You gain 1  Level 1 Spell Slot. 
Additional Spell Slot Level 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,AdditionalSpellSlot_Level_3 is a passive feature that gives you an extra level 3 spell slot. ,You gain 1  Level 3 Spell Slot. 
Adrenaline Rush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Wrath,3 Turns,,,,,,,TRUE,FALSE,Adrenaline Rush is a passive feature that grants a character wrath every time they dash during combat. ,"When the wearer  Dashes or takes a similar action during combat, they gain  Wrath for 3 turns. "
Adroit Caster,,Adroit Caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,"Adroit Caster is a toggleable passive feature that allows you to cast a cantrip at a second creature at the same time, once per short rest. ","Cantrips targeting foes and allies can target an additional creature. The same target can be chosen twice. Usable once per short rest. Cantrips require the targets to be close together, unless those cantrips are projectiles. "
Adroit Reflexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Adroid Reflexes is a passive feature that enhances your counterattacks. ,"When you make an Attack roll as a  Reaction, you make it with  Advantage. "
Advanced Unarmoured Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,No Protection,6,FALSE,TRUE,"Advanced Unarmoured Movement is a Monk passive feature that allows movement through Difficult Terrain without penalty. If no armour or shield is equipped, an additional  6 m / 20 ft can be Jumped. ",Difficult Terrain doesn't slow you down and you can  Jump an additional  6 m / 20 ft while you are not wearing armour or using a shield. 
Aegis Palms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"Blade Ward,Death Ward",2 Turns,,,,,,,TRUE,FALSE,Aegis Palms is a passive feature that protects creatures you heal or revive. ,"When you heal a creature, it gains the effect of  Blade Ward. When you  Revive a creature it gains the effect of  Death Ward. "
After Death Do Us Part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,After Death Do Us Part is a passive feature that can automatically revive the wearer but might drive them mad. ,"When the wearer is  Downed, they rise once more with half their Hit Points restored, but are gripped by  Shadow Possession. "
Agile Chassis,,,,,,DEX,,ADV,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Agile Chassis is a passive feature that grants a creature  Advantage on  Dexterity saving throw and an additional 9 m / 30 ft movement speed. ,The lightweight build of this Steel Watcher grants it Advantage on Dexterity Saving Throws and an additional 9 m / 30 ft movement speed. 
Agonising Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Agonising Blast is an Eldritch Invocation passive feature from the Warlock class. It allows the caster to increase their damage by adding their Charisma Modifier. ,"When you cast  Eldritch Blast, add your Charisma Modifier to the damage it deals, unless it is negative. "
Alert,,,,,,,,,,,,,,,+5,,,,,,,,,,,Surprised,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Alert is a Feat. It gives you a bonus to your initiative and you can no longer be  Surprised. ,You gain +5 to Initiative and can no longer be surprised. 
Ambusher (+1),,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Ambusher is a passive feature that enhances the user's initiative in combat. ,Gain a +1 bonus to  Initiative Rolls. 
Ambusher (+2),,,,,,,,,,,,,,,+2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Ambusher is a passive feature that enhances the user's initiative in combat. ,Gain a +2 bonus to  Initiative Rolls. 
Ambusher's Streak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Ambusher's Streak is a passive feature that deals more damage at the start of the battle if you act before the target does. ,"In combat, you deal an additional 1d6⁠Necrotic damage against creatures that haven't taken a turn yet. "
Angelclocker Knuckles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d4,Radiant,,FALSE,,,,,,,,,FALSE,TRUE,Angelclocker Knuckles is passive feature that adds radiant damage to unarmed attacks. ,Your unarmed attacks deal an additional 1d4⁠Radiant damage. 
Antimagic Susceptibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Antimagic Susceptibility is a passive feature that renders the creature incapacitated and unable to act when within an antimagic field. ,"Held together by the Weave itself, this armour is  Incapacitated by antimagic fields. "
Arcane Ashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Heat,2 Turns,,,,,,,TRUE,FALSE,Arcane Ashes is a passive feature that heats up the user whenever they deal fire damage. ,"Whenever you deal ⁠Fire damage, you gain 2 turns of  Heat. "
Arcane Battery,,Arcane Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Arcane Battery is a toggleable passive feature which allows the user to cast a spell without using up a spell slot. ,Alleviate the arcane burden of spellcasting with the power of this staff. The next spell you cast doesn't cost a spell slot. You need to toggle this feature on in order to activate this effect. 
Arcane Echomalefaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Reverberation,2 Turns,,,,,,,TRUE,FALSE,Arcane Echomalefaction is a passive feature which applies reverberation on enemies after applying a condition. ,"When the wearer inflicts a condition upon a hostile creature, they also inflict 2 turns of  Reverberation.[See: Bugs] "
Arcane Enchantment (Caitiff Staff),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Melee Spell, Ranged Spell",+1,,+1,,,,FALSE,,,,,,,,,FALSE,TRUE,Arcane Enchantment is a passive feature that boosts a caster's spellcasting ability. ,You gain a +1 bonus to Spell Save DC and Spell Attack rolls. 
Arcane Enchantment (Despair of Athkatla),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Melee Spell, Ranged Spell",+1,,+1,,,,FALSE,,,,,,,,,FALSE,TRUE,Arcane Enchantment is a passive feature that boosts a caster's spellcasting ability. ,You gain a +1 bonus to Spell Save DC and Spell Attack rolls. 
Arcane Enchantment (Markoheshkir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Melee Spell, Ranged Spell",+1,,+1,,,,FALSE,,,,,,,,,FALSE,TRUE,Arcane Enchantment is a passive feature that boosts a caster's spellcasting ability. ,You gain a +1 bonus to Spell Save DC and Spell Attack rolls. 
Arcane Enchantment (Melf's First Staff),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Melee Spell, Ranged Spell",+1,,+1,,,,FALSE,,,,,,,,,FALSE,TRUE,Arcane Enchantment is a passive feature that boosts a caster's spellcasting ability. ,You gain a +1 bonus to Spell Save DC and Spell Attack rolls. 
Arcane Enchantment (Staff of Spellpower),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Melee Spell, Ranged Spell",+1,,+1,,,,FALSE,,,,,,,,,FALSE,TRUE,Arcane Enchantment is a passive feature that boosts a caster's spellcasting ability. ,You gain a +1 bonus to Spell Save DC and Spell Attack rolls. 
Arcane Enchantment (Staff of the Emperor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Melee Spell, Ranged Spell",+1,,+1,,,,FALSE,,,,,,,,,FALSE,TRUE,Arcane Enchantment is a passive feature that boosts a caster's spellcasting ability. ,You gain a +1 bonus to Spell Save DC and Spell Attack rolls. 
Arcane Enchantment (Woe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Melee Spell, Ranged Spell",+1,,+1,,,,FALSE,,,,,,,,,FALSE,TRUE,Arcane Enchantment is a passive feature that boosts a caster's spellcasting ability. ,You gain a +1 bonus to Spell Save DC and Spell Attack rolls. 
Arcane Enchantment (Cloak of the Weave),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Melee Spell, Ranged Spell",+1,,+1,,,,FALSE,,,,,,,,,FALSE,TRUE,Arcane Enchantment is a passive feature that boosts a caster's spellcasting ability. ,You gain a +1 bonus to Spell Save DC and Spell Attack rolls. 
Arcane Enchantment (Ketheric's Shield),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Melee Spell, Ranged Spell",+1,,+1,,,,FALSE,,,,,,,,,FALSE,TRUE,Arcane Enchantment is a passive feature that boosts a caster's spellcasting ability. ,You gain a +1 bonus to Spell Save DC and Spell Attack rolls. 
Arcane Enchantment (Robe of the Weave),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Melee Spell, Ranged Spell",+1,,+1,,,,FALSE,,,,,,,,,FALSE,TRUE,Arcane Enchantment is a passive feature that boosts a caster's spellcasting ability. ,You gain a +1 bonus to Spell Save DC and Spell Attack rolls. 
Arcane Enchantment (+2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Melee Spell, Ranged Spell",+2,,+2,,,,FALSE,,,,,,,,,FALSE,TRUE,Arcane Enchantment is a passive feature that boosts a caster's spellcasting ability. ,You gain a +2 bonus to Spell Save DC and Spell Attack rolls. 
Arcane Radiance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Radiating Orb,2 Turns,,,,,,,TRUE,FALSE,Arcane Radiance is a passive feature that debuffs a target hit by spell damage while illuminated. ,"When the wearer deals spell damage while illuminated by a light source, they also inflict  Radiating Orb upon the target for 2 turns. "
Arcane Vampirism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Arcane Vampirism is a passive feature that heals the wearer whenever the wearer applies a negative effect from spells. ,"When the creatures affected by your spells fail any associated  Saving throws, you regain 1d4⁠hit points. "
Arcane Vehemence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Arcane Vehemence is a passive feature that restores a spell slot when you land a critical hit. ,"Once per Short Rest, you regain a Level 1 spell slot when you land a Critical Hit with the Spellthief. "
Arcane Vivaciousness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Temporary Hit Points (8),,,,,,,,TRUE,FALSE,Arcane Vivaciousness is a passive feature that grants the wearer temporary health while casting spells in melee range. ,You gain  8 temporary hit points after casting a spell while in melee. Can only have temporary hit points from one source. 
Arcane Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,"Arcane Ward is a passive feature of the Abjuration School Wizard. Upon casting an Abjuration spell[See: Bugs], gain a charge in Arcane Ward which blocks incoming damage. Each time damage is taken, it is reduced by the charge count and the charge count decreases by one. ","The residual magic of your spells forms a ward around you that protects you from harm. Each time you cast an Abjuration spell, the intensity of the ward increases by the amount of the spell's Level, up to a maximum of 2x your Wizard level. Each time you take damage, the ward blocks an amount of damage equal to its intensity, and its intensity decreases by 1. After each Long Rest, the ward's intensity resets, and becomes the same as your Wizard level. "
Archery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranged,+2,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Archery is a Fighting Style passive feature. ,You gain a +2 bonus to Attack rolls you make with ranged Weapons. 
Arctic I,,,,,,,,,,,,,,,,,,,,,,,"Hold Person, Spike Growth",,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Arctic is a passive feature available to Circle of the Land Druids that pick this as their Land. ,You can cast  Hold Person and  Spike Growth. At higher levels You can cast  Sleet Storm and  Haste. You can cast  Conjure Minor Elemental and  Ice Storm. You can cast  Cone of Cold and  Contagion. 
Arctic II,,,,,,,,,,,,,,,,,,,,,,,"Sleet Storm, Haste",,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Arctic is a passive feature available to Circle of the Land Druids that pick this as their Land. ,You can cast  Hold Person and  Spike Growth. At higher levels You can cast  Sleet Storm and  Haste. You can cast  Conjure Minor Elemental and  Ice Storm. You can cast  Cone of Cold and  Contagion. 
Arctic III,,,,,,,,,,,,,,,,,,,,,,,"Conjure Minor Elemental, Ice Storm",,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Arctic is a passive feature available to Circle of the Land Druids that pick this as their Land. ,You can cast  Hold Person and  Spike Growth. At higher levels You can cast  Sleet Storm and  Haste. You can cast  Conjure Minor Elemental and  Ice Storm. You can cast  Cone of Cold and  Contagion. 
Arctic IV,,,,,,,,,,,,,,,,,,,,,,,"Cone of Cold, Contagion",,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Arctic is a passive feature available to Circle of the Land Druids that pick this as their Land. ,You can cast  Hold Person and  Spike Growth. At higher levels You can cast  Sleet Storm and  Haste. You can cast  Conjure Minor Elemental and  Ice Storm. You can cast  Cone of Cold and  Contagion. 
Arming Enhancement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Weapon,"Ranged, Melee",+2,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Arming Enhancement is a passive feature that adds a straight +2 enchantment to your current weapon. ,Gain a +2 Bonus to Attack roll and damage rolls with weapons. 
Armour of Agathys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Armour of Agathys is a passive feature granted by the condition and spell of the same name. ,"A spectral frost covers you and your gear. When a creature hits you with a melee attack, it takes 5 x spell level⁠Cold. "
Armour of Shadows,,,,,,,,,,,,,,,,,,,,,,,Mage Armour,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Armour of Shadows is an Eldritch Invocation from the Warlock class. It allows you to cast Mage Armour at will. ,"You can cast  Mage Armour on yourself at will, without expending a Spell Slot. Mage Armour increases your Armour Class when you are not wearing armour. Mage Armour increases your  Armour Class when you aren't wearing armour. "
Army Arcana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Army Arcana is a passive feature that prevents your allies from taking damage from your spells. ,Create pockets of safety within your spells. Allies automatically succeed their  Saving throws against these spells and take no damage from them. 
Artificer's Lore,,,History,PRO,,,,,,,,,,,,,,,,,,,,,,,,History,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Artificer's Lore is a passive feature available to Rock Gnomes. They add twice their Proficiency Bonus to History checks. ,Add twice your  Proficiency Bonus to  History checks. 
Artificial Sight,,,,,,,,,,,,,,,,,,12,,,,,,,,Blinded,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Artificial Sight is a passive feature that lets the user see even when blinded. ,The wearer can see in the dark up to  12 m / 40 ft and cannot be  Blinded. 
Aspect of the Beast: Bear,,,Athletics,,ADV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FALSE,,,,,,,,,FALSE,TRUE,Aspect of the Beast: Bear is a Wildheart Barbarian passive feature that infuses you with the strength of a bear. ,"The Aspect of the Bear infuses you with strength. Your Carrying Capacity is doubled, and you have  Advantage on Strength Checks. "
Aspect of the Beast: Chimpanzee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Blinded,2 Turns,,DEX,,,,,TRUE,FALSE,Aspect of the Beast: Chimpanzee is a Wildheart Barbarian passive feature that infuses you with the nimble agility of a chimpanzee. ,"The Aspect of the Chimpanzee grants you a nimble mischievousness. You gain Resistance to falling damage, and throwing camp supplies  Blinds targets. "
Aspect of the Beast: Crocodile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Aspect of the Beast: Crocodile is a Wildheart Barbarian passive feature that infuses you with the swimming agility of a crocodile. ,"The Aspect of the Crocodile increases your agility in the water. Your Movement Speed increases by  3 m / 10 ft while standing in water-based surfaces. On slippery surfaces, you also have  Advantage on Saving Throws against being knocked  Prone "
Aspect of the Beast: Eagle,,,Perception,,ADV,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Aspect of the Beast: Eagle is a Wildheart Barbarian passive feature that infuses you with eyesight of an eagle. ,"The Aspect of the Eagle enhances your eyesight. You can see in the dark up to  12 m / 40 ft, and gain  Advantage on Perception Checks. "
Aspect of the Beast: Elk,,,,,,,,,,,,,,,,,,,,,,Aspect of the Elk,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Aspect of the Beast: Elk is a Wildheart Barbarian passive feature that infuses you with the agility of an elk. ,"The Aspect of the Elk grants you astounding swiftness. You can use  Aspect of the Elk, giving yourself and nearby allies extra Movement Speed. "
Aspect of the Beast: Honey Badger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Aspect of the Beast: Honey Badger is a Wildheart Barbarian toggleable passive feature that infuses you with the resilience of a honey badger. ,"If you're  Poisoned,  Frightened, or  Charmed at the start of your turn, you have a 50% chance to begin Raging without expending a Rage Charge. "
Aspect of the Beast: Stallion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Aspect of the Beast: Stallion is a Wildheart Barbarian passive feature that infuses you with the steadfastness of a horse. ,The Aspect of the Stallion creates safety in movement. Dashing grants you  temporary hit points equal to twice your Barbarian level. Can only have temporary hit points from one source. 
Aspect of the Beast: Tiger,,,,,,,,,,,,Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Aspect of the Beast: Tiger is a Wildheart Barbarian passive feature that infuses you with the ferociousness of a tiger. ,"The Aspect of the Tiger infuses you with an unrelenting ferocity. You add an additional Strength Modifier to Attack Rolls against  Bleeding or  Poisoned targets, and gain Proficiency in Survival "
Aspect of the Beast: Wolf,,,,,,,,,,,,Stealth,,,,,,,,,,Aspect of the Wolf,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,TRUE,Aspect of the Beast: Wolf is a Wildheart Barbarian passive feature that infuses you with the stealthiness of a wolf. ,"The Aspect of the Wolf boosts your stealthiness. You gain Proficiency in Stealth, and can use  Aspect of the Wolf. "
Aspect of the Beast: Wolverine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Maimed,1 Turn,,,,,,,TRUE,FALSE,Aspect of the Beast: Wolverine is a Wildheart Barbarian passive feature that infuses you with the relentlessness of a wolverine. ,"The Aspect of the Wolverine grants you the tools to relentlessly pursue your prey. When you attack a  Bleeding or  Poisoned target, you also  Maim it for 1 turn "
Assassin's Alacrity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Assassin's Alacrity is an Assassin Rogue passive feature that greatly enhances your first turn in combat ,"Quick as an alley cat in a rain-dark city, you immediately restore your  Action and  Bonus Action at the start of combat "
Assassinate: Ambush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Assassinate: Ambush is an Assassin Rogue passive feature that greatly increases damage against foes you surprise. ,Any successful Attack Roll against a  Surprised creature is a Critical Hit. 
Assassinate: Initiative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Assassinate: Initiative is an Assassin Rogue passive feature that increases the chance of a successful attack if you act before they do. ,"You are deadliest against unprepared enemies. In combat, you have  Advantage on Attack Rolls against creatures that haven't taken a turn yet. "
Athlete: Standing Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Athlete: Standing Up is passive feature obtainable by a Feat of the same name. You become adept at getting up and are able to leap much further than before. ,"When you are  Prone, standing up uses significantly less movement. Your  Jump distance also increases by 50%. "
