,,Select 1,,,,Select 2,,,,,,,
Magic Initiate: Druid,Magic Initiate: Druid,Cantrip,Choose Cantrips,2,"Guidance, Poison Spray, Produce Flame, Resistance, Shillelagh, Thorn Whip",Spell,Choose Spell,1,"Animal Friendship, Charm Person, Create or Destroy Water, Cure Wounds, Enhance Leap, Entangle, Faerie Fire, Fog Cloud, Goodberry, Healing Word, Ice Knife, Longstrider, Speak with Animals, Thunderwave",,,,
Magic Initiate: Sorcerer,Magic Initiate: Sorcerer,Cantrip,Choose Cantrips,2,"Acid Splash, Blade Ward, Bone Chill, Booming Blade, Bursting Sinew, Dancing Lights, Fire Bolt, Friends, Light, Mage Hand, Minor Illusion, Poison Spray, Ray of Frost, Shocking Grasp, True Strike",Spell,Choose Spells,1,"Burning Hands, Charm Person, Chromatic Orb, Colour Spray, Disguise Self, Enhance Leap, Expeditious Retreat, False Life, Feather Fall, Fog Cloud, Ice Knife, Mage Armour, Magic Missile, Ray of Sickness, Shield, Sleep, Thunderwave, Witch Bolt",,,,
Magic Initiate: Warlock,Magic Initiate: Warlock,Cantrip,Choose Cantrips,2,"Blade Ward, Bone Chill, Booming Blade, Eldritch Blast, Friends, Mage Hand, Minor Illusion, Poison Spray, Toll the Dead, True Strike",Spell,Choose Spells,1,"Armour of Agathys, Arms of Hadar, Charm Person, Expeditious Retreat, Hellish Rebuke, Hex, Protection from Evil and Good, Witch Bolt",,,,
Magic Initiate: Wizard,Magic Initiate: Wizard,Cantrip,Choose Cantrips,2,"Acid Splash, Blade Ward, Bone Chill, Booming Blade, Bursting Sinew, Dancing Lights, Fire Bolt, Friends, Light, Mage Hand, Minor Illusion, Poison Spray, Ray of Frost, Shocking Grasp, Toll the Dead, True Strike",Spell,Choose Spells,1,"Burning Hands, Charm Person, Chromatic Orb, Colour Spray, Disguise Self, Enhance Leap, Expeditious Retreat, False Life, Feather Fall, Find Familiar, Fog Cloud, Grease, Ice Knife, Longstrider, Mage Armour, Magic Missile, Protection from Evil and Good, Ray of Sickness, Shield, Sleep, Tasha's Hideous Laughter, Thunderwave, Witch Bolt",,,,
Martial Adept,Martial Adept,Manoeuvres,Choose Battle Manoeuvres,2,"Commander's Strike, Disarming Attack, Distracting Strike, Evasive Footwork, Feinting Attack, Goading Attack, Manoeuvring Attack, Menacing Attack, Precision Attack, Pushing Attack, Rally, Riposte, Sweeping Attack, Trip Attack",,,,,,,Superiority Dice,1
Medium Armour Master,Medium Armour Master,,,,,,,,,,Medium,,
Mobile,"Mobile, Mobile: Evade Difficult Terrain, Mobile: Evade Opportunity Attack",,,,,,,,,,,,
Moderately Armoured,Moderately Armoured,Ability,Add Ability Score,1,"STR, DEX",,,,,,Light,,
Performer,Performer,,,,,,,,,,,,
Polearm Master,"Polearm Master: Bonus Attack, Polearm Master: Opportunity Attack",,,,,,,,,,,,
Resilient,,Feature,Choose Resilient Type,1,"Resilient: Strength, Resilient: Dexterity, Resilient: Constitution, Resilient: Intelligence, Resilient: Charisma, Resilient: Wisdom",,,,,,,,
Ritual Caster,Ritual Caster: Free Spells,Spell,Choose Spells,2,"Disguise Self, Enhance Leap, Find Familiar, Longstrider, Speak with Animals, Speak with Dead",,,,,,,,
Savage Attacker,Savage Attacker,,,,,,,,,,,,
Sentinel,"Sentinel: Vengeance, Sentinel: Snare, Sentinel: Opportunity Advantage",,,,,,,,,,,,
Sharpshooter,"Sharpshooter: Low Ground, Sharpshooter: All In",,,,,,,,,,,,
Shield Master,"Shield Master, Shield Master: Block",,,,,,,,,,,,
Skilled,Skilled,Skill Proficiency,Gain Proficiency in Skills,3,"Arcana, Nature, Athletics, Acrobatics, Sleight of Hand, Stealth, History, Investigation, Religion, Animal Handling, Insight, Medicine, Perception, Survival, Deception, Intimidation, Performance, Persuasion",,,,,,,,
Spell Sniper,Spell Sniper,Cantrip,Choose Cantrips,1,"Bone Chill, Eldritch Blast, Fire Bolt, Ray of Frost, Shocking Grasp, Thorn Whip",,,,,,,,
Tavern Brawler,Tavern Brawler,Ability,Add Ability Score,1,"STR, CON",,,,,,,,
Tough,Tough,,,,,,,,,,,,
War Caster,"War Caster: Opportunity Spell, War Caster: Concentration",,,,,,,,,,,,
Weapon Master,Weapon Master,Ability,Add Ability Score,1,"STR, DEX",Weapon Proficiency,Choose Weapon Proficiences,4,"Clubs, Daggers, Handaxes, Javelins, Light Hammers, Maces, Sickles, Quarterstaves, Spears, Greatclubs, Flails, Morningstars, Rapiers, Scimitars, Shortswords, War Picks, Battleaxes, Longswords, Tridents, Warhammers, Glaives, Greataxes, Greatswords, Halberds, Mauls, Pikes, Light Crossbows, Shortbows, Hand Crossbows, Heavy Crossbows, Longbows",,,,
