Area,,Surface,Area,Cloud,Dippable,Conditions,Desc1,Desc2
Crawler Mucus,,FALSE,FALSE,TRUE,FALSE,Stricken with Crawler Mucus,Crawler Mucus is a cloud that poisons and incapacitates those who are caught within.,Poisons and  Paralyses.
Dancing Lights,,FALSE,TRUE,FALSE,FALSE,,"Dancing Lights is an area created by  Dancing Lights. It creates an area of bright, magical light that illuminates the dark.",Illuminates  9 m / 30 ft radius.
Darkness,,FALSE,FALSE,TRUE,FALSE,Blinded,Darkness is a cloud that prevents creatures from seeing into or out of the cloud.,A shroud of magical darkness that Heavily Obscures and Blinds creatures within. Creatures cannot make ranged attacks into or out of the darkness.
Daylight,,FALSE,TRUE,FALSE,FALSE,Daylight,"Daylight is an area created by  Daylight: Sphere. It creates an area of magical brightness, greatly illuminating the surrounding area and dispelling  Darkness.","A sphere of powerful light, bright as the sun."
Drow Poison Cloud,,FALSE,FALSE,FALSE,FALSE,Stricken with Drow Poison,"Drow Poison Cloud is a cloud that debuffs those that travel through it. When inside the cloud, characters must made a Constitution Saving Throw each turn or become Poisoned and fall Asleep. The cloud itself doesn't deal any damage.",Chance to set Poisoned.
Electrified Steam,,FALSE,FALSE,FALSE,FALSE,"Electrocuted,Wet",Electrified Steam is a  type of cloud that applies  Wet and  Electrocuted to creatures residing within.,Deals 1d4⁠⁠Lightning damage per turn.
Electrified Water,,FALSE,FALSE,FALSE,FALSE,Electrocuted,Electrified Water is an area created when water becomes charged with lightning damage.,Deals 1d4⁠⁠Lightning damage per turn.
Fire,,TRUE,FALSE,FALSE,TRUE,Burning,"Fire is a type of surface. When stepped on, characters catch on fire and take Fire damage every round. Dipping weapons into this surface makes them deal an additional 1d4 Fire damage.",Deals 1d4⁠⁠Fire damage per turn.
Fog,,FALSE,FALSE,FALSE,FALSE,Blinded,Fog is a cloud that blinds and obscures creatures such that they cannot attack into or out of the cloud.,Heavily Obscures and Blinds creatures within.
Globe of Invulnerability,,FALSE,TRUE,FALSE,FALSE,Invulnerable,Globe of Invulnerability is an area created by Globe of Invulnerability. It creates a dome where any creature inside is temporarily invulnerable to all damage.   Properties   Type: Summoned,Heavily Obscures and Blinds creatures within.
Grease,,TRUE,FALSE,FALSE,FALSE,"Prone,Difficult Terrain",Grease is a surface. This flammable surface threatens to knock characters  Prone as they pass over.,Difficult terrain - movement speed is halved and creatures may fall Prone. Flammable.
Haste Spores,,FALSE,FALSE,TRUE,FALSE,Haste Spores,Haste Spores is a cloud. Standing within these spores hastens a character for one turn.,"Creatures have a +2 bonus to  Armour Class,  Advantage on Dexterity Saving Throws, their movement speed is doubled, and they can take one additional action per turn."
Hellfire,,FALSE,FALSE,FALSE,TRUE,Roiling Hellfire,"Hellfire is a type of surface. When stepped on, characters will catch on fire and take Fire damage every round that ignores any fire resistances. Unlike regular fire surfaces, Hellfire surfaces cannot be extinguished with Ice.",Deals 6d6 Fire damage per turn that ignores Resistances and Immunities.
Holy Fire,,FALSE,FALSE,FALSE,FALSE,Holy Fire,Holy Fire is a surface that burns creatures with holy fire if they stand on it.,Deals 1d6⁠⁠Radiant damage per turn.
Hunger of Hadar,,FALSE,TRUE,FALSE,FALSE,Hunger of Hadar,Hunger of Hadar is an area created by  Hunger of Hadar. It creates an area of magical darkness that impedes movement and deals damage at the beginning and end of each turn.,"A sphere of cold blackness, teeming with unknown horrors. Creatures starting their turn in the area take 2d6⁠⁠Cold damage. Creatures ending their turn in the area possibly take 2d6⁠⁠Acid damage. The area is Difficult Terrain and creatures within are  Blinded."
Ice,,TRUE,FALSE,FALSE,FALSE,"Prone,Difficult Terrain","Ice is an area. Created in numerous ways, it can knock  Prone anyone who travels over it.",Difficult terrain - movement speed is halved and creatures may fall Prone.
Ice Cloud,,FALSE,FALSE,FALSE,FALSE,Icy Cloud,Ice Cloud is a type of cloud that deals heavy Cold damage to creatures inside.,Deals 10d6⁠⁠Cold damage per turn.
Insect Plague,,FALSE,TRUE,FALSE,FALSE,Insect Plague,Insect Plague is an area created by Insect Plague. It creates a damaging area of blades that deals damage to all who enter it.,"Swarming, biting locusts fill the air. They deal 4d10⁠⁠Piercing per turn, make the area  Difficult Terrain, and impose  Disadvantage on Perception Checks."
Lava,,FALSE,FALSE,FALSE,FALSE,"Melting,Difficult Terrain",Lava is an area. Characters passing through lava are slowed and receive massive fire damage per turn.,Deals 10d6⁠⁠Fire damage per turn.
Malice,,FALSE,FALSE,TRUE,FALSE,Stricken with Malice,"Malice is a cloud that pacifies creatures within, preventing them from taking actions.",Poisons and  Blinds.
Mind Flayer Blood,,FALSE,FALSE,FALSE,FALSE,,Mind Flayer Blood is a surface that is created when Mind Flayers receive damage.,"The viscous, silvery ichor that flows through a mind flayer's veins."
Mind Sanctuary,,FALSE,TRUE,FALSE,FALSE,Within the Mind Sanctuary,Mind Sanctuary is an area created by the tadpole ability Mind Sanctuary. It creates an area that allows creatures inside to use their actions and bonus actions interchangeably.,Anyone within the  Mind Sanctuary can take actions and bonus actions interchangeably.
Moonbeam,,FALSE,TRUE,FALSE,FALSE,Moonbeam,"Moonbeam is an area created by Moonbeam. It creates a damaging area that deals radiant damage, and can be moved on every turn.   Properties   Type: Summoned",Anyone within the  Mind Sanctuary can take actions and bonus actions interchangeably.
Moonlight Butterflies,,FALSE,TRUE,FALSE,FALSE,Moonlight Butterflies,Moonlight Butterflies is an area created by  Moonlight Butterflies. It is a swarm of illusory butterflies that distract and enchant creatures inside.,An illusory swarm of moon-pale butterflies. Creatures inside the area are illuminated and all attacks against them have  Advantage. Creatures fleeing the illusion suffer 1d6⁠⁠Psychic damage when leaving the area.
Mud,,FALSE,FALSE,FALSE,FALSE,Difficult Terrain,Mud is a surface that deals halves the movement of creatures passing through it.,Difficult terrain - movement speed is halved.
Murderous Cloud of Daggers,,FALSE,TRUE,FALSE,FALSE,Murderous Dagger Cloud,Murderous Cloud of Daggers is an area created by Murderous Cloud of Daggers. It creates a damaging area of blades that deals damage to all who enter it.,Spinning daggers fill the air. Anyone inside the whirlwind takes 6d4⁠⁠Piercing each turn.
Mysterious Liquid,,FALSE,FALSE,FALSE,FALSE,,Mysterious Liquid is a surface created by breaking a  Nautiloid Tank.,"This vivid, briny fluid reacts to any heat that comes near it."
Noxious Fumes,,FALSE,FALSE,FALSE,FALSE,Noxious Fumes,Noxious Fumes is a cloud that inflicts poison damage on any character that enters or begins their turn within it.,Chance to affect creatures with  Noxious Fumes.
Oil,,FALSE,FALSE,FALSE,FALSE,,"Oil is a type of surface. Oil surfaces have no effects while stepping on them, however will ignite and turn into a Fire surface when in contact with flame, such as from a Fireball spell or a lit Candle.",Flammable.
Pacifying Spores,,FALSE,FALSE,TRUE,FALSE,Pacified,"Pacifying Spores is a cloud that pacifies creatures within, preventing them from taking actions.",Creatures submerged in the spores cannot take actions or reactions.
Plant Growth,,TRUE,FALSE,FALSE,FALSE,Plant Growth,Plant Growth is an area that significantly slows creatures passing through it.,Covered by weeds. Quarters movement speed.
Poison Cloud,,FALSE,FALSE,FALSE,FALSE,Poisoned,"Poison Cloud is a cloud that debuffs those that travel through it. When inside the cloud, characters must made a  Constitution saving throw each turn or become  Poisoned. The cloud itself doesn't deal any damage.",Chance to set Poisoned.
Potion of Greater Healing,,FALSE,FALSE,TRUE,FALSE,,Potion of Greater Healing is a cloud that heals any creature caught within the area.,Recover 4d4+4⁠⁠hit points and stop  Burning.
Potion of Healing,,FALSE,FALSE,TRUE,FALSE,,Potion of Healing is a cloud that heals any creature caught within the area.,Recover 2d4+2⁠⁠hit points and stop  Burning.
Potion of Superior Healing,,FALSE,FALSE,TRUE,FALSE,,Potion of Superior Healing is a cloud that heals any creature caught within the area.,Recover 8d4+8⁠⁠hit points and stop  Burning.
Potion of Supreme Healing,,FALSE,FALSE,TRUE,FALSE,,Potion of Supreme Healing is a cloud that heals any creature caught within the area.,Recover 10d4+20⁠⁠hit points and stop  Burning.
Purple Worm Poison,,FALSE,FALSE,FALSE,TRUE,Purple Worm Toxin,Purple Worm Poison is a surface that deals poison damage.,Deals Poisoned damage.
Raging Vortex,,FALSE,TRUE,FALSE,FALSE,"Raging Vortex,Silenced",Raging Vortex is an area created by the Air Myrmidon's ability  Raging Vortex. It creates a vortex of buffeting winds that silences and damages everyone inside.,Creatures that remain in the aura are  Silenced and take 2d8⁠⁠Bludgeoning damage per turn.
Serpent Venom,,FALSE,FALSE,FALSE,TRUE,Serpent Fang Toxin,Serpent Venom is a surface that potentially poisons those that travel through it.,Deals poison damage.
Sewage,,FALSE,FALSE,FALSE,FALSE,"Prone,Difficult Terrain",Sewage is a surface that halves movement speed and may cause you to slip. It can be found in abundance in the Lower City Sewers.,Difficult terrain - movement speed is halved and creatures may fall Prone. Flammable.
Shadow-Cursed Vines,,FALSE,FALSE,FALSE,FALSE,"Shadow-Cursed Vines,Difficult Terrain: Vines","Shadow-Cursed Vines is an area of entangling vines suffused with necrotic energy. They are created by Shadow-Cursed Vine Blights, and are dropped automaticallly when blight creatures die.","The vines deal 1d4⁠⁠Necrotic damage per turn, are  Difficult Terrain, and can  Entangle creatures."
Silence,,FALSE,TRUE,FALSE,FALSE,Silenced,"Silence is an area created by the spell Silence. It creates an area that silences everyone inside, preventing Thunder damage and spells that require a vocal component.",Creatures that remain in the aura are  Silenced.
Simple Toxin,,TRUE,FALSE,FALSE,TRUE,Simple Toxin,Simple Toxin is a surface that deals light poison damage.,Applies Poisoned.
Sleet Storm,,FALSE,TRUE,FALSE,FALSE,,Sleet Storm is an area created by  Sleet Storm. It creates a stormy area of rain and snow that impedes movement and disrupts anyone concentrating on a spell.,"A magical storm of snow, hail, and rain."
Smokepowder,,TRUE,FALSE,FALSE,FALSE,,Smokepowder is a type of surface created by throwing or breaking a Smokepowder Barrel.,Explosive.
Soul Ascension,,FALSE,TRUE,FALSE,FALSE,"Writhing Souls,Hellfire Cambion",Soul Ascension is an area created by Soul Ascension. It creates an area that significantly improves Raphael's cambions and damages non-cambions.   Properties   Type: Summoned,Explosive.
Spikes,,FALSE,FALSE,FALSE,FALSE,"Spike Growth,Difficult Terrain",Spikes is a surface that deals Piercing damage based on how far a creature moves through the spikes.,Deals 2d4⁠⁠Piercing damage every time a creature moves on top of the spikes.
Spreading Spores,,FALSE,TRUE,FALSE,FALSE,Spreading Spores,Spreading Spores is an area created by  Spreading Spores. It creates an area of spores that deals Necrotic damage to any who inhale them.,"Beautiful as suspended snow, these spores sting your cheeks, set fire to your trachea, and putrefy your lungs."
Steam Cloud,,FALSE,FALSE,FALSE,FALSE,Wet,Steam Cloud is a type of cloud that applies  Wet to creatures residing within.,Applies Wet.
Stinking Cloud,,FALSE,FALSE,TRUE,FALSE,Nauseous,"Stinking Cloud is a cloud that pacifies creatures within, preventing them from taking actions.",Creatures caught in this cloud might be prevented from taking actions due to its foul smell.
Strange Gas,,FALSE,FALSE,FALSE,FALSE,Otherworldly Miasma,"Strange Gas is an area. It is a gas sublimate of githyanki pheromones. Exposure to this cloud requires passing a  Saving throw at the start of each turn within it, unless you are a githyanki.",A strange gas of githyanki origin.
The Dead Wastes,,FALSE,TRUE,FALSE,FALSE,"Blooming Dead,Wasting Mortal",The Dead Wastes is an area created by The Dead Wastes. It creates a damaging area that heals undead and damaging all others.   Properties   Type: Summoned,A strange gas of githyanki origin.
The Wasting Quiet,,FALSE,TRUE,FALSE,FALSE,The Wasting Quiet,"The Wasting Quiet is an area created by the reaction Vengeful Playmate. It creates an area that silences everyone inside, and is dealt necrotic damage.",Any creatures within this miasma of childlike terror are  Silenced and take 3d8⁠⁠Necrotic every time they enter or start their turn inside.
Timmask Spores,,FALSE,FALSE,TRUE,FALSE,Befuddled,Timmask Spores is a cloud that briefly befuddles all who pass through. Can be created by approaching or destroying a Timmask.,Chance to  Befuddle creatures.
Twisting Vines,,FALSE,FALSE,FALSE,FALSE,"Entangled,Difficult Terrain: Vines",Twisting Vines  is an area that entangles those who stand above it.,Difficult terrain - movement speed is halved and creatures may become Entangled. Entangled creatures cannot move.
Unstable Blood,,TRUE,FALSE,FALSE,FALSE,,"Unstable Blood is a surface created when a creature with the passive feature Unstable Blood is damaged and bleeds. Instead of  Blood, they will create an Unstable Blood surface.",Explodes on contact with fire.
Void,,FALSE,FALSE,FALSE,FALSE,"Blinded,Void Cloud",Void is a cloud that  blinds those that travel through it. While inside the cloud. Characters will also take ⁠⁠Cold damage at the end of each turn.,blinds creatures and deals 2d8⁠⁠Cold damage at the end of the turn.
Wall of Fire,,FALSE,TRUE,FALSE,FALSE,"Wall of Fire,Burning",Wall of Fire is an area created by Wall of Fire. It creates a passable barrier that deals heavy Fire damage to all who enter.   Properties   Type: Summoned,blinds creatures and deals 2d8⁠⁠Cold damage at the end of the turn.
Wall of Ice,,FALSE,TRUE,FALSE,FALSE,,"Wall of Ice is an area created by Wall of Ice. It creates an impassable barrier that deals heavy Ice damage to all who enter, as well as thsoe who remain after the wall is destroyed.","A pillar made of solid ice. When the ice is broken, it leaves behind a cloud of frigid air that deals 10d6⁠⁠Cold per turn to creatures within."
Wall of Thorns,,FALSE,TRUE,FALSE,FALSE,"Wall of Thorns,Difficult Terrain",Wall of Thorns is an area created by Wall of Thorns. It creates a passable barrier that deals heavy Piercing damage to all who enter.,"Giant, twisted thorns have sprouted from the ground.  They deal 7d8⁠⁠Piercing per turn, and quarter the movement speed of all creatures walking through it."
Water,,TRUE,FALSE,FALSE,TRUE,,Water is a type of surface that can be created by numerous ways and manipulated by other elements.,Douses unprotected flames. Can be electrified or frozen.
Web,,TRUE,FALSE,FALSE,FALSE,"Enwebbed,Difficult Terrain","Web is a type of Surface. When stepped on, characters will move at half speed and they might become Enwebbed. Web surfaces can be created through the use of spells or grenades. In areas where spiders live, webbed surfaces may be present.",Difficult terrain - Movement Speed is halved. Can Enweb creatures. Prevents Falling damage. Flammable.
Whirlwind,,FALSE,FALSE,FALSE,FALSE,Whirlwind,Whirlwind is an area created by Sweetplum Gales. It creates a whirling tornado that can possibly restrain those inside it.,Restrains those within.
Wyvern Poison,,TRUE,FALSE,FALSE,TRUE,Wyvern Toxin,Wyvern Poison is a surface that deals poison damage if the creature walking on it fails a Constitution Saving Throw.,Applies Poisoned.
