Name,Image,Location,Type,Rarity,Armour Type,Weight,Cost,AC,AC Mod,AC Bonus,No Crit,Resistances,Vulnerability,Skill,Skill Bonus,Skill Factor,ST Ability,ST Bonus,ST Factor,Spells,Level,Recharge,Features,Ability,Ability Bonus,Max Ability,AR Types,AR Bonus,AR Factor,Movement,Conditions,Act,Description,,Armour,Armour|Clothing,Headwear,Footwear,Cloak,Ring,Amulet,Shield,Handwear
Leather Armour +1,,,Armour,Uncommon,Light,4.5kg,130,12,DEX,,FALSE,,,,,,,,,,,,Stealthy,,,,,,,,,,Leather Armour +1 is an uncommon Light Armour that grants a +1 bonus to Stealth checks.,,Leather Armour +1,Leather Armour +1,The Shadespell Circlet,Leather Boots,Cloak of Displacement,Guild Ring,Fireheart,Training Shield,Gloves of Archery
Padded Armour +1,,,Armour,Uncommon,Light,3.6kg,105,12,DEX,,FALSE,,,,,,,,,,,,Superior Padding (-1),,,,,,,,,,Padded Armour +1 is a uncommon Light Armour.,,Padded Armour +1,Padded Armour +1,Wapira's Crown,Leather Boots (Barbarian),Derivation Cloak,Mage's Friend,Frost Prince,Wooden Shield,Gloves of Baneful Striking
Scarlet Leather Armour,,,Armour,Uncommon,Light,4.5kg,160,12,DEX,,FALSE,,,,,,,,,,,,Stealthy,,,,,,,,,3,Scarlet Leather Armour is an uncommon Light Armour that grants its wearer +1 to Stealth checks.,,Scarlet Leather Armour,Scarlet Leather Armour,Warped Headband of Intellect,Lonely Left Boot of Elvenkind,The Deathstalker Mantle,Poisoner's Ring,Hammergrim Mist Amulet,Absolute's Warboard,Gloves of Belligerent Skies
Studded Leather Armour +1,,,Armour,Uncommon,Light,5.9kg,260,13,DEX,,FALSE,,,,,,,,,,,,Superior Padding (-1),,,,,,,,,,Studded Leather Armour +1 is an uncommon Light Armour that reduces Bludgeoning damage by 1.,,Studded Leather Armour +1,Studded Leather Armour +1,Cap of Wrath,Monastic Boots,Wavemother's Cloak,Ring of Absolute Force,Kill Collar,Gloomstrand Shield,Gloves of Hail of Thorns
Drow Studded Leather Armour,,,Armour,Rare,Light,5.9kg,1000,12,DEX,,FALSE,,,,,,,,,,,,Stealthy,,,,,,,,,1,Drow Studded Leather Armour is a rare Light Armour that aids the wearer with Stealth checks.,,Drow Studded Leather Armour,Drow Studded Leather Armour,Circle of Bones,Plain Boots,Cloak of the Weave,Ring of Colour Spray,Komira's Locket,Glowing Shield,Gloves of Heroism
Leather Armour +2,,,Armour,Rare,Light,4.5kg,380,13,DEX,,FALSE,,,,,,,,,,,,"Stealthy, Balance",,,,,,,,,,Leather Armour +2 is an uncommon Light Armour that grants a +1 bonus to Stealth checks as well as Dexterity Saving Throws and Ability Checks.,,Leather Armour +2,Leather Armour +2,Circlet of Blasting,Quite Fashionable Boots,Mantle of the Holy Warrior,Ring of Elemental Infusion,Moondrop Pendant,Ironvine Shield,Gloves of Power
Padded Armour +2,,,Armour,Rare,Light,3.6kg,310,13,DEX,,FALSE,,,,,,,,,,,,Superior Padding (-2),,,,,,,,,,Padded Armour +2 is a rare Light Armour that reduces Bludgeoning damage by 2.,,Padded Armour +2,Padded Armour +2,Circlet of Mental Anguish,Simple Boots,Nymph Cloak,Ring of Flinging,Necklace of Elemental Augmentation,Safeguard Shield,Gloves of the Growling Underdog
Penumbral Armour,,,Armour,Rare,Light,5.9kg,1000,12,DEX,,FALSE,,,,,,,,,,,,Stealthier,,,,,,,,,2,Penumbral Armour is a rare Light Armour that enhances Stealth when the wearer is Obscured.,,Penumbral Armour,Penumbral Armour,Circlet of Psionic Revenge,Smarmy Swaggerer Boots,Shade-Slayer Cloak,Ring of Geniality,Pearl of Power Amulet,The Real Sparky Sparkswall,Gloves of Thievery
Shadeclinger Armour,,,Armour,Rare,Light,4.5kg,130,12,DEX,,FALSE,,,,,,,,,,,,"Stealthy, Shadeclinger",,,,,,,,,2,Shadeclinger Armour is a rare Light Armour that grants Advantage on Saving Throws while Obscured.,,Shadeclinger Armour,Shadeclinger Armour,Diadem of Arcane Synergy,Soft and Comfortable Shoes,,Ring of Jumping,Psychic Spark,Watcher's Shield,Hellrider's Pride
Spidersilk Armour,,,Armour,Rare,Light,5.9kg,1150,12,DEX,,FALSE,,,,,,CON,,ADV,,,,Stealthy,,,,,,,,,1,Spidersilk Armour is a rare Light Armour that aids the wearer with Stealth checks and Constitution Saving Throws.,,Spidersilk Armour,Spidersilk Armour,Fistbreaker Helm,Stiffly-Shod Boots,,Ring of Mental Inhibition,Shar's Temptation,Wood Woad Shield,Herbalist's Gloves
Studded Leather Armour +2,,,Armour,Very Rare,Light,5.9kg,770,14,DEX,,FALSE,,,,,,,,,,,,"Ambusher (+1), Superior Padding (-1)",,,,,,,,,3,Studded Leather Armour +2 is a rare Light Armour that reduces Bludgeoning damage by 1 and also boosts Initiative by 1.,,Studded Leather Armour +2,Studded Leather Armour +2,Gibus of the Worshipful Servant,Thin-Soled Shoes,,Ring of Salving,Silver Pendant,Absolute's Protector,Ichorous Gloves
Armour of Landfall,,,Armour,Very Rare,Light,4.5kg,1700,13,DEX,,FALSE,,,,,,CON,,ADV,Plant Growth,3,Short Rest,"High Spellcasting (+1), Green Bed Regeneration",,,,,,,,,3,Armour of Landfall is a very rare Light Armour which improves the spellcasting ability of its wearer and  Advantage on Constitution Saving Throws. The wearer also heals while standing in vines and can cast Plant Growth.,,Armour of Landfall,Armour of Landfall,Haste Helm,Tidy Slender Boots,,Ring of Self Immolation,Spineshudder Amulet,Adamantine Shield,Knock Knuckle Gloves
Armour of Moonbasking,,,Armour,Very Rare,Light,4.5kg,1400,11,DEX,,FALSE,,,,,,,,,,,,"Lunar Bestial Vitality, Lunar Bestial Fortitude",,,,,,,,,3,Armour of Moonbasking is a very rare Light Armour that bestows Temporary Hit Points and Armour Class to its wielder when they Wild Shape.,,Armour of Moonbasking,Armour of Moonbasking,Hat of the Sharp Caster,Tough Shoes,,Ring of Shadows,Tarnished Charm,Iron-Banded Shield +1,Luminous Gloves
Armour of the Sporekeeper,,,Armour,Very Rare,Light,4.5kg,1050,13,DEX,,FALSE,,,,,,,,,,,,"Malefic Funghi, Spore Sacks",,,,,,,,,3,Armour of the Sporekeeper is a very rare Light Armour that enhances the wearer's Necrotic damage and Symbiotic Entity ability with 3 new abilities.,,Armour of the Sporekeeper,Armour of the Sporekeeper,Hat of Uninhibited Kushigo,Tough-Soled Shoes,,Ring of Spiteful Thunder,The Blast Pendant,Justiciar's Greatshield,Reason's Grasp
Bhaalist Armour,,,Armour,Very Rare,Light,5.9kg,2000,14,DEX,,FALSE,,,,,,,,,,,,"Ambusher (+2), Aura of Murder",,,,,,,,,3,Bhaalist Armour is a very rare Light Armour which grants Aura of Murder and a bonus to Initiative rolls.,,Bhaalist Armour,Bhaalist Armour,Scabby Pugilist Circlet,Boots of Aid and Comfort,,Seemingly Gleaming Ring,The Ever-Seeing Eye,Ketheric's Shield,Thermoarcanic Gloves
Elegant Studded Leather,,,Armour,Very Rare,Light,5.9kg,2000,14,DEX,,FALSE,,,Stealth,,ADV,,,,Shield,1,Short Rest,Ambusher (+2),,,,,,,,,3,"Elegant Studded Leather is a very rare Light Armour which provides bonuses to initiative, Advantage on Stealth checks, and grants access to the Shield spell.",,Elegant Studded Leather,Elegant Studded Leather,The Pointy Hat,Boots of Stormy Clamour,,Shadow Blade Ring,Amulet of Branding,Sentinel Shield,Unlucky Thief's Gloves
Breastplate,,,Armour,Common,Medium,9.0kg,100,14,DEX or 2,,FALSE,,,,,,,,,,,,,,,,,,,,,,Breastplate is a common Medium Armour.,,Breastplate,Breastplate,Assassin of Bhaal Cowl,Boots of Very Fast Blinking,,Shadow-Cloaked Ring,Amulet of Restoration,Shield +1,Winter's Clutches
Chain Shirt,,,Armour,Common,Medium,9.0kg,50,13,DEX or 2,,FALSE,,,,,,,,,,,,,,,,,,,,,,A Chain Shirt is a common Medium Armour.,,Chain Shirt,Chain Shirt,Birthright,Cinder Shoes,,Shapeshifter's Boon Ring,Amulet of the Drunkard,Shield of Scorching Reprisal,Bracers of Defence
Damaged Dark Justiciar Armour,,,Armour,Common,Medium,9.0kg,50,13,DEX or 2,,FALSE,,,,,,,,,,,,,,,,,,,,,,A Medium Armour that is the degraded version of  Dark Justiciar Mail. It is part of the Dark Justiciar Set.,,Damaged Dark Justiciar Armour,Damaged Dark Justiciar Armour,Bonespike Helmet,Hoarfrost Boots,,Smuggler's Ring,Amulet of the Harpers,Shield of Shielding,Cerebral Citadel Gloves
Damaged Scale Mail,,,Armour,Common,Medium,12.0kg,25,12,DEX or 2,,FALSE,,,Stealth,,DIS,,,,,,,,,,,,,,,,,Damaged Scale Mail is a common Medium armour offering less protection than other Medium armours due to its damaged state.,,Damaged Scale Mail,Damaged Scale Mail,Circlet of Hunting,Mystra's Grace,,Snowburst Ring,Champion's Chain,Studded Shield +1,Cindersnap Gloves
Dreamwalker Plate,,,Armour,Common,Medium,12.0kg,180,15,DEX or 2,,FALSE,,,Stealth,,DIS,,,,,,,,,,,,,,,,,Dreamwalker Plate is a set of Medium Armour worn by the guardian who appears in your dreams.,,Dreamwalker Plate,Dreamwalker Plate,Helldusk Helmet,Spiderstep Boots,,Spurred Band,Chancer's Carcanet,Abdel's Trusted Shield,Craterflesh Gloves
Githyanki Half Plate,,,Armour,Common,Medium,12.0kg,180,15,DEX or 2,,FALSE,,,Stealth,,DIS,,,,,,,,,,,,,,,,,Githyanki Half Plate is a common Medium Armour worn by Lae'zel and other Githyanki throughout the game.,,Githyanki Half Plate,Githyanki Half Plate,Hood of the Weave,Tyrannical Jackboots,,Strange Conduit Ring,Envoy's Amulet,Shield of Devotion,Daredevil Gloves
Half Plate Armour,,,Armour,Common,Medium,12.0kg,180,15,DEX or 2,,FALSE,,,Stealth,,DIS,,,,,,,,,,,,,,,,,Half Plate Armour is a common Medium Armour.,,Half Plate Armour,Half Plate Armour,Horns of the Berserker,Varsh Ko'kuu's Boots,,Sunwalker's Gift,Periapt of Wound Closure,Shield of the Undevout,Dark Displacement Gloves
Hide Armour,,,Armour,Common,Medium,5.4kg,60,12,DEX or 2,,FALSE,,,,,,,,,,,,,,,,,,,,,,Hide Armour is a common Medium Armour.,,Hide Armour,Hide Armour,Jannath's Hat,Acrobat Shoes,,The Sparkswall,Sentient Amulet (Rare),Swires' Sledboard,Dark Justiciar Gauntlets (Rare)
Scale Mail,,,Armour,Common,Medium,12.0kg,65,14,DEX or 2,,FALSE,,,Stealth,,DIS,,,,,,,,,,,,,,,,,Scale Mail is a common Medium Armour.,,Scale Mail,Scale Mail,Mask of Soul Perception,Boots of Apparent Death,,The Whispering Promise,Spell Savant Amulet,Viconia's Walking Fortress,Flawed Helldusk Gloves
Scale Mail of Devotion,,,Armour,Common,Medium,12.0kg,65,14,DEX or 2,,FALSE,,,Stealth,,DIS,,,,,,,,,,,,,,,,,The Scale Mail of Devotion is a common Medium Armour.,,Scale Mail of Devotion,Scale Mail of Devotion,Pyroquickness Hat,Boots of Arcane Bolstering,,After Death Do Us Part,Strange Tendril Amulet,,Gloves of Battlemage's Power
Scale Mail of the Ancients,,,Armour,Common,Medium,12.0kg,65,14,DEX or 2,,FALSE,,,Stealth,,DIS,,,,,,,,,,,,,,,,,The Scale Mail of the Ancients is a common Medium Armour.,,Scale Mail of the Ancients,Scale Mail of the Ancients,Shapeshifter Hat,Boots of Brilliance,,Band of the Mystic Scoundrel,Surgeon's Subjugation Amulet,,Gloves of Cinder and Sizzle
Scale Mail of the Crown,,,Armour,Common,Medium,12.0kg,65,14,DEX or 2,,FALSE,,,Stealth,,DIS,,,,,,,,,,,,,,,,,The Scale Mail of the Crown is a common Medium Armour.,,Scale Mail of the Crown,Scale Mail of the Crown,Mask of the Shapeshifter,Boots of Genial Striding,,Fetish of Callarduran Smoothhands,The Amulet of Lost Voices,,Gloves of Crushing
Scale Mail of Vengeance,,,Armour,Common,Medium,12.0kg,65,14,DEX or 2,,FALSE,,,Stealth,,DIS,,,,,,,,,,,,,,,,,The Scale Mail of Vengeance is a common Medium Armour.,,Scale Mail of Vengeance,Scale Mail of Vengeance,Key of the Ancients,Boots of Speed,,Keepsake Ring,Uncovered Mysteries,,Gloves of Missile Snaring
Breastplate +1,,,Armour,Uncommon,Medium,9.0kg,200,15,DEX or 2,,FALSE,,,,,,,,,,,,Superior Plate (-1),,,,,,,,,,Breastplate +1 is an uncommon Medium Armour that reduces Piercing damage.,,Breastplate +1,Breastplate +1,Angelic Plume Helmet,Boots of Uninhibited Kushigo,,Ring of Arcane Synergy,Amulet of Greater Health,,Gloves of the Automaton
Chain Shirt +1,,,Armour,Uncommon,Medium,9.0kg,130,14,DEX or 2,,FALSE,,,,,,,,,,,,Superior Material (-1),,,,,,,,,,Chain Shirt +1 is an uncommon Medium Armour that reduces Slashing damage.,,Chain Shirt +1,Chain Shirt +1,Frayed Drow Hood,Evasive Shoes,,Ring of Blink,Amulet of the Devout,,Gloves of the Balanced Hands
Dark Justiciar Mail,,,Armour,Uncommon,Medium,9.0kg,280,13,DEX or 2,,FALSE,,,,,,,,,,,,Nightsinger's Reply,,,,,,,,,1,Dark Justiciar Mail is an uncommon Medium Armour that deals ⁠Necrotic damage to creatures that hit the wearer with a melee attack while the wearer is Obscured by shadow.,,Dark Justiciar Mail,Dark Justiciar Mail,Leather Helmet,Linebreaker Boots,,Ring of Exalted Marrow,Amulet of Windrider,,Gloves of The Duellist
Half Plate Armour +1,,,Armour,Uncommon,Medium,12.0kg,360,16,DEX or 2,,FALSE,,,Stealth,,DIS,,,,,,,Superior Plate (-1),,,,,,,,,,Half Plate Armour +1 is a uncommon Medium Armour that reduces Piercing damage.,,Half Plate Armour +1,Half Plate Armour +1,Leatherstring Helmet,Slinging Shoes,,Ring of Free Action,Corvid Token,,Gloves of Uninhibited Kushigo
Hedge Wanderer Armour,,,Armour,Uncommon,Medium,5.4kg,130,13,DEX or 2,,FALSE,,,Nature,1,,,,,,,,Balance,,,,,,,,,1,The Hedge Wanderer Armour is an uncommon Medium Armour that provides a small boost to Dexterity related rolls and towards Nature Skill Checks.,,Hedge Wanderer Armour,Hedge Wanderer Armour,Red Carmine Mask,Spaceshunt Boots,,Ring of Mind-Shielding,Fey Semblance Amulet,,Jhannyl's Gloves
Hide Armour +1,,,Armour,Uncommon,Medium,5.4kg,105,13,DEX or 2,,FALSE,,,,,,,,,,,,Balance,,,,,,,,,,Hide Armour +1 is a uncommon Medium Armour.,,Hide Armour +1,Hide Armour +1,Rich Arcanist Helmet,Springstep Boots,,Ring of Poison Resistance,Khalid's Gift,,Martial Exertion Gloves
Luminous Armour,,,Armour,Uncommon,Medium,9.0kg,250,15,DEX or 2,,FALSE,,,,,,,,,,,,Radiating Shockwave,,,,,,,,,1,Luminous Armour is an uncommon Medium Armour that allows the wearer to cause radiant shockwaves whenever they deal Radiant damage.,,Luminous Armour,Luminous Armour,Scorpion Helmet,Swiresy Shoes,,Ring of Protection,Sentient Amulet (Very Rare),,Nimblefinger Gloves
Scale Mail +1,,,Armour,Uncommon,Medium,12.0kg,160,15,DEX or 2,,FALSE,,,Stealth,,DIS,,,,,,,Superior Material (-1),,,,,,,,,,Scale Mail +1 is a uncommon Medium Armour that reduces Slashing damage.,,Scale Mail +1,Scale Mail +1,Covert Cowl,The Watersparkers,,Ring of Truthfulness,Spellcrux Amulet,,Poisoner's Gloves
Slippery Chain Shirt,,,Armour,Uncommon,Medium,9.0kg,130,13,DEX or 2,,FALSE,,,,,,,,,,,,Cautious Healer,,,,,,,,,1,The Slippery Chain Shirt is an uncommon Medium Armour that allows the wearer to move without provoking Opportunity Attacks after healing a creature.,,Slippery Chain Shirt,Slippery Chain Shirt,Dark Justiciar Mask,Bonespike Boots,,Ring of Twilight,The Spectator Eyes,,Raven Gloves
The Oak Father's Embrace,,,Armour,Uncommon,Medium,5.4kg,130,13,DEX or 2,,FALSE,,,,,,,,,,,,Order of Nature,,,,,,,,,1,"The Oak Father's Embrace is an uncommon Medium Armour that deals Radiant damage to creatures violating the natural order, including the wearer.",,The Oak Father's Embrace,The Oak Father's Embrace,Helmet of Arcane Acuity,Helldusk Boots,,Risky Ring,Tressym Collar,,Seraphic Pugilist Gloves
Barkskin Armour,,,Armour,Rare,Medium,5.4kg,420,12,DEX or 2,,FALSE,,,,,,CON,,ADV,,,,Forest Aegis,,,,,,,,,2,Barkskin Armour is a rare Medium Armour that sets the user's Armour Class to 16 and grants Advantage on Constitution Saving Throws.,,Barkskin Armour,Barkskin Armour,Helmet of Autonomy,Disintegrating Night Walkers,,Shifting Corpus Ring,Unflinching Protector Amulet,,Servitor of the Black Hand Gloves
Breastplate +2,,,Armour,Rare,Medium,9.0kg,600,16,DEX or 2,,FALSE,,,,,,,,,,,,"Superior Plate (-1), Balance",,,,,,,,,,Breastplate +2 is a rare Medium Armour that reduces Piercing damage and grants a +1 bonus to Dexterity Saving Throws and Ability Checks.,,Breastplate +2,Breastplate +2,Shadow of Menzoberranzan,Dreamsome Boots,,Till Death Do Us Part,Amulet of Bhaal,,Snow-Dusted Monastery Gloves
Chain Shirt +2,,,Armour,Rare,Medium,9.0kg,210,15,DEX or 2,,FALSE,,,,,,,,,,,,"Superior Material (-1), Balance",,,,,,,,,,Chain Shirt +2 is a rare Medium Armour that reduces Slashing damage and grants a +1 bonus to Dexterity Saving Throws and Ability Checks,,Chain Shirt +2,Chain Shirt +2,Helmet of Grit,Githyanki Boots,,True Love's Caress,,,Spellseeking Gloves
Dark Justiciar Half-Plate (Rare),,,Armour,Rare,Medium,12.0kg,1450,16,DEX or 2,,FALSE,,,,,,CON,,ADV,Shar's Aegis,1,Long Rest,Shar's Umbrae,,,,,,,,,2,Dark Justiciar Half-Plate is a rare Medium Armour that grants Advantage on Stealth checks while Obscured in shadow. It also grants Advantage on Constitution Saving Throws and allows its wearer to cast Shield of Faith once per Long Rest.,,Dark Justiciar Half-Plate (Rare),Dark Justiciar Half-Plate (Rare),Adjustable Steel Helm,Metallic Boots,,True Love's Embrace,,,Stalker Gloves
Elven Chain,,,Armour,Rare,Medium,9.0kg,510,14,DEX or 2,,FALSE,,,,,,,,,,,,"Elven Chain, Elven Agility",,,,,,,,,3,Elven Chain is a rare Medium Armour that grants its wearer bonuses to Initiative Rolls and Dexterity Saving Throws.,,Elven Chain,Elven Chain,Blackplume Helm,Oathbreaker Knight Boots,,Burnished Ring,,,Swordmaster Gloves
Half Plate Armour +2,,,Armour,Rare,Medium,12.0kg,1100,17,DEX or 2,,FALSE,,,Stealth,,DIS,,,,,,,Superior Plate (-2),,,,,,,,,,Half Plate Armour +2 is a rare Medium Armour that moderately reduces Slashing damage.,,Half Plate Armour +2,Half Plate Armour +2,Blaze Portyr's Ceremonial Flaming Fist Helm,Boots of Elemental Momentum,,Crypt Lord Ring,,,The Sparkle Hands
Hide Armour +2,,,Armour,Rare,Medium,5.4kg,310,14,DEX or 2,,FALSE,,,,,,,,,,,,"Balance, Ambusher (+1)",,,,,,,,,,"Hide Armour +2 is a rare Medium Armour that grants a +1 bonus to Dexterity Saving Throws and Ability Checks, as well as Initiative.",,Hide Armour +2,Hide Armour +2,Cracked Helm of Shar,Boots of Striding,,Killer's Sweetheart,,,Thunderpalm Strikers
Psionic Ward Armour,,,Armour,Rare,Medium,12.0kg,1450,15,DEX or 2,,FALSE,,,Stealth,,DIS,,,,,,,Psionic Ward,,,,,,,,,2,"Psionic Ward Armour is a set of rare Medium Armour. It heals the wearer if they if they pass a Saving Throw against a spell, and gives them Resistance to Psychic damage if they are Githyanki.",,Psionic Ward Armour,Psionic Ward Armour,Fierce Golden Helm,Blackguard's Greaves,,Orphic Ring,,,Winkling Gloves
Scale Mail +2,,,Armour,Rare,Medium,12.0kg,480,16,DEX or 2,,FALSE,,,Stealth,,DIS,,,,,,,"Superior Material (-1), Ambusher (+1)",,,,,,,,,,Scale Mail +2 is a rare Medium Armour.,,Scale Mail +2,Scale Mail +2,Flaming Fist Helmet,Dark Justiciar Boots,,Ring of Evasion,,,Wondrous Gloves
The Jolty Vest,,,Armour,Rare,Medium,9.0kg,510,14,DEX or 2,,FALSE,,,,,,,,,,,,"Superior Material (-1), Countershock",,,,,,,,,1,The Jolty Vest is a Rare Medium Armour that shocks enemies who land attacks on the wearer while they have Lightning Charges.,,The Jolty Vest,The Jolty Vest,Formidable Helmet,The Speedy Lightfeet,,Ring of Feywild Sparks,,,Abyss Beckoners
Unwanted Masterwork Scalemail,,,Armour,Rare,Medium,12.0kg,640,16,,,FALSE,Fire,,,,,,,,,,,Exotic Material,,,,,,,,,3,The Unwanted Masterwork Scalemail is a rare Medium Armour that doesn't limit your AC's Dexterity bonus. It is part of the Unwanted set.,,Unwanted Masterwork Scalemail,Unwanted Masterwork Scalemail,Goldgloss Heraldic Helm,Unwanted Masterwork Greaves,,Ring of Regeneration,,,Bhaalist Gloves
Yuan-Ti Scale Mail,,,Armour,Rare,Medium,12.0kg,640,15,,,FALSE,,,,,,,,,,,,"Exotic Material, Ambusher (+1)",,,,,,,,,2,Yuan-Ti Scale Mail is a rare Medium Armour that adds the wearer's Dexterity Modifier to their Armour Class and also grants a +1 bonus to Initiative.,,Yuan-Ti Scale Mail,Yuan-Ti Scale Mail,Helmet,Vital Conduit Boots,,Guiding Light,,,Bonespike Gloves
Adamantine Scale Mail,,,Armour,Very Rare,Medium,12.0kg,1300,16,DEX or 2,,TRUE,,,Stealth,,DIS,,,,,,,"Magical Plate (-1), Adamantine Backlash",,,,,,,,,1,"Adamantine Scale Mail is a very rare Medium Armour that reduces all incoming damage by 1 and sends attackers Reeling. In addition, attacks cannot land Critical Hits on the user.",,Adamantine Scale Mail,Adamantine Scale Mail,Justiciar Helmet,Boots of Persistence,,,,,Gauntlet of the Tyrant
Armour of Agility,,,Armour,Very Rare,Medium,12.0kg,2900,17,,,FALSE,,,,,,,2,,,,,Exotic Material,,,,,,,,,3,"The Armour of Agility is a very rare Medium Armour that doesn't limit your AC's Dexterity bonus, and boosts all of the user's Saving Throws by 2.",,Armour of Agility,Armour of Agility,Opulent Helmet,Boots of Psionic Movement,,,,,Gauntlets of Hill Giant Strength
Dark Justiciar Half-Plate (Very Rare),,,Armour,Very Rare,Medium,12.0kg,2900,17,DEX or 2,,FALSE,,,,,,CON,,ADV,Shar's Aegis,1,Long Rest,"Shar's Umbrae, Shar's Protection",,,,,,,,,,"Dark Justiciar Half-Plate is a very rare Medium Armour that grants Advantage on Stealth checks while Obscured in shadow. It also grants Advantage on Constitution Saving Throws, allows its wearer to cast Shield of Faith once per Long Rest, and reduces damage while Shield of Faith is active on its wearer.",,Dark Justiciar Half-Plate (Very Rare),Dark Justiciar Half-Plate (Very Rare),Regal Helm,,,,,,Gemini Gloves
Flame Enamelled Armour,,,Armour,Very Rare,Medium,12.0kg,2900,16,DEX or 2,,FALSE,,,Stealth,,DIS,,,,Fire Shield: Warm,4,Long Rest,"Seldom Caught Unawares (+2), Endurance by Fire",,,,,,,,,3,Flame Enamelled Armour is a very rare Medium Armour that grants a +2 bonus to Initiative and grants Resistance to Fire damage and +2 to all Saving Throws. It also allows the user to cast the Fire Shield: Warm spell.,,Flame Enamelled Armour,Flame Enamelled Armour,Reinforced Helmet,,,,,,Gloves of Dexterity
Sharpened Snare Cuirass,,,Armour,Very Rare,Medium,5.4kg,830,14,,,FALSE,,,,,,,,,,,,"Exotic Material, Sharpened Snare",,,,,,,,,2,Sharpened Snare Cuirass is a very rare Medium Armour that adds your full Dexterity Modifier to your Armour Class. Enemies also have Disadvantage when resisting your attacks and Saving Throws that inflict Restrained.,,Sharpened Snare Cuirass,Sharpened Snare Cuirass,Scalpspike Helm,,,,,,Helldusk Gloves
