Name,Image,Location,Attack Type,Type,Rarity,Weight,Cost,Range,Hold Type,Finesse,Light,Thrown,Ench.,DMG Type 1,DMG1 1H,DMG1 2H,DMG Type 2,DMG2,DMG Type 3,DMG3,Spell,Level,Recharge,Weapon Action,Action,Recharge,Features,Off-hand Only Feature,Off-hand Action,Resistance,AC Bonus,Act,Usable,DONE,,,Melee,Ranged
Salami,,,Melee,Clubs,Common,0.9kg,10,1.5m,One-Handed,FALSE,TRUE,FALSE,,Bludgeoning,1d4,1d4,,,,,,,,Concussive Smash,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Salami is a mundane, nonmagical variant of the Clubs family of weapons. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training.",,Salami,Darkfire Shortbow
Club +1,,,Melee,Clubs,Uncommon,0.9kg,17,1.5m,One-Handed,FALSE,TRUE,FALSE,1,Bludgeoning,1d4,1d4,,,,,,,,Concussive Smash,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Club +1 is an uncommon, lightly enchanted (+1) variant of the Clubs family of weapons. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training.",,Club +1,Least Expected
Club of Hill Giant Strength,,,Melee,Clubs,Uncommon,0.9kg,65,1.5m,One-Handed,FALSE,TRUE,FALSE,,Bludgeoning,1d4,1d4,,,,,,,,Concussive Smash,Main Hand Attack,,Splinters of a Giant's Might,,Off-Hand Attack (Melee),,,1,TRUE,TRUE,Club of Hill Giant Strength is an uncommon club that that sets the wearer's Strength to 19.,,Club of Hill Giant Strength,Vicious Shortbow
Ironwood Club,,,Melee,Clubs,Uncommon,0.9kg,65,1.5m,One-Handed,FALSE,TRUE,FALSE,1,Bludgeoning,1d4,1d4,,,,,,,,"Concussive Smash, Backbreaker",Main Hand Attack,Short Rest,,,Off-Hand Attack (Melee),,,2,TRUE,FALSE,Ironwood Club is an uncommon +1 Club that deals extra Bludgeoning damage when Shillelagh is cast on it.,,Ironwood Club,Blightbringer
Shadow Lantern,,,Melee,Clubs,Rare,0.9kg,190,1.5m,One-Handed,FALSE,TRUE,FALSE,,Bludgeoning,1d4,1d4,,,,,Conjure Shadow Lantern Wraith,6,Long Rest,Concussive Smash,Main Hand Attack,,,,Off-Hand Attack (Melee),,,2,TRUE,FALSE,The Shadow Lantern is a unique type of Moonlantern which provides a Moonshield and grants the unique Conjure Shadow Lantern Wraith spell.,,Shadow Lantern,Hand Crossbow
Moonlantern,,,Melee,Clubs,Story Item,0.9kg,30,1.5m,One-Handed,FALSE,TRUE,FALSE,,Bludgeoning,1d4,1d4,,,,,,,,Concussive Smash,Main Hand Attack,,,,Off-Hand Attack (Melee),,,2,TRUE,TRUE,The Moonlantern is a special utility item that sheds a magical Light in a large radius while equipped.,,Moonlantern,Firestoker
Torch of Revocation,,,Melee,Clubs,Story Item,0.9kg,145,1.5m,One-Handed,FALSE,TRUE,FALSE,1,Bludgeoning,1d4,1d4,Fire,1d4,Necrotic,1d4,,,,Concussive Smash,Main Hand Attack,,,,Off-Hand Attack (Melee),,,3,TRUE,TRUE,Torch of Revocation is a story rarity +1 utility item carried by Mystic Carrion and used in exorcisms.,,Torch of Revocation,Hand Crossbow +1
Artificial Leech,,,Melee,Daggers,Common,0.5kg,16,1.5m,One-Handed,TRUE,TRUE,TRUE,,Piercing,1d4,1d4,Piercing,1,,,,,,Piercing Strike,Main Hand Attack,,,,Off-Hand Attack (Melee),,,2,TRUE,TRUE,"Artificial Leech is a common variant of the Daggers family of weapons. It is a simple melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.",,Artificial Leech,Hand Crossbow +2
Needle of the Outlaw Rogue,,,Melee,Daggers,Common,0.5kg,1,1.5m,One-Handed,TRUE,TRUE,TRUE,,Piercing,1d4,1d4,,,,,,,,Piercing Strike,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Needle of the Outlaw Rogue is a common variant of the Daggers family of weapons. It is a simple melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.",,Needle of the Outlaw Rogue,Ne'er Misser
Polished Dagger,,,Melee,Daggers,Common,0.5kg,30,1.5m,One-Handed,TRUE,TRUE,TRUE,,Piercing,1d4,1d4,,,,,,,,Piercing Strike,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Polished Dagger is a common variant of the Daggers family of weapons. It is a simple melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.",,Polished Dagger,Hellfire Hand Crossbow
Rusted Blade,,,Melee,Daggers,Common,0.5kg,16,1.5m,One-Handed,TRUE,TRUE,TRUE,,Piercing,1d4,1d4,,,,,,,,Piercing Strike,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Rusted Blade is a common variant of the Daggers family of weapons. It is a simple melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.",,Rusted Blade,Rusty Heavy Crossbow
Rusty Dagger,,,Melee,Daggers,Common,0.5kg,2,1.5m,One-Handed,TRUE,TRUE,TRUE,,Piercing,1d4,1d4,,,,,,,,Piercing Strike,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Rusty Dagger is a common variant of the Daggers family of weapons. It is a simple melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.",,Rusty Dagger,Heavy Crossbow
Scalpel,,,Melee,Daggers,Common,0.5kg,16,1.5m,One-Handed,TRUE,TRUE,TRUE,,Piercing,1d4,1d4,,,,,,,,Piercing Strike,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Scalpel is a common variant of the Daggers family of weapons. It is a simple melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.",,Scalpel,Crossbow of Arcane Force
Syringe,,,Melee,Daggers,Common,0.5kg,16,1.5m,One-Handed,TRUE,TRUE,TRUE,,Piercing,1d4,1d4,,,,,,,,,Main Hand Attack,,,,Off-Hand Attack (Melee),,,2,TRUE,TRUE,"Syringe is a common variant of the Daggers family of weapons. It is a simple melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.",,Syringe,Gandrel's Aspiration
Dagger,,,Melee,Daggers,Common,0.5kg,16,1.5m,One-Handed,TRUE,TRUE,TRUE,,Piercing,1d4,1d4,,,,,,,,Piercing Strike,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Dagger is a mundane, nonmagical variant of the Daggers family of weapons. It is a simple melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.",,Dagger,Githyanki Crossbow
Poo-Scraper,,,Melee,Daggers,Common,0.5kg,2,1.5m,One-Handed,TRUE,TRUE,TRUE,,Piercing,1d4,1d4,,,,,,,,Piercing Strike,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Poo-Scraper is a mundane, nonmagical variant of the Daggers family of weapons. It is a simple melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.",,Poo-Scraper,Heavy Crossbow +1
Artificial Leech (+1),,,Melee,Daggers,Uncommon,0.5kg,65,1.5m,One-Handed,TRUE,TRUE,TRUE,1,Piercing,1d4,1d4,,,,,,,,"Piercing Strike, Bloodletting",Main Hand Attack,Short Rest,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,Artificial Leech is an uncommon +1 Dagger which grants non player characters the Bloodletting weapon action.,,Artificial Leech (+1),Giantbreaker
Assassin's Touch,,,Melee,Daggers,Uncommon,0.5kg,40,1.5m,One-Handed,TRUE,TRUE,TRUE,1,Piercing,1d4,1d4,,,,,,,,Piercing Strike,Main Hand Attack,,Deathly Slumber,,Off-Hand Attack (Melee),,,1,TRUE,TRUE,Assassin's Touch is an uncommon +1 Dagger that deals additional damage to Sleeping or Knocked Out targets.,,Assassin's Touch,Harold
Dagger +1,,,Melee,Daggers,Uncommon,0.4kg,40,1.5m,One-Handed,TRUE,TRUE,TRUE,1,Piercing,1d4,1d4,,,,,,,,Piercing Strike,Main Hand Attack,,,,Off-Hand Attack (Melee),,,1,TRUE,TRUE,"Dagger +1 is an uncommon, lightly enchanted (+1) variant of the Daggers family of weapons. It is a simple melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.",,Dagger +1,The Long Arm of the Gur
Hunter's Dagger,,,Melee,Daggers,Uncommon,0.4kg,65,1.5m,One-Handed,TRUE,TRUE,TRUE,1,Piercing,1d4,1d4,,,,,,,,"Piercing Strike, Flourish, Lacerate",Main Hand Attack,,Rupturing,,Off-Hand Attack (Melee),,,1,TRUE,TRUE,Hunter's Dagger is an uncommon +1 Dagger that can Rupture the target on a hit.,,Hunter's Dagger,Fabricated Arbalest
Murderous Cut,,,Melee,Daggers,Uncommon,0.4kg,65,1.5m,One-Handed,TRUE,TRUE,TRUE,1,Piercing,1d4,1d4,,,,,,,,"Piercing Strike, Flourish, Lacerate",Main Hand Attack,,Prey Upon the Weak,,Off-Hand Attack (Melee),,,,TRUE,TRUE,Murderous Cut is an uncommon +1 Dagger that deals extra Piercing damage to targets with less than half their maximum Hit points.,,Murderous Cut,Hellfire Engine Crossbow
Ritual Dagger,,,Melee,Daggers,Uncommon,0.4kg,320,1.5m,One-Handed,TRUE,TRUE,TRUE,,Piercing,1d4,1d4,,,,,Blood Sacrifice,,,Piercing Strike,Main Hand Attack,Per Turn,The Pain Maiden's Blessing,,Off-Hand Attack (Melee),,,1,TRUE,TRUE,Ritual Dagger is an uncommon dagger that temporarily Blesses the wielder when dealing damage to an enemy - or to themselves.,,Ritual Dagger,Longbow
Ritual Dagger of Shar,,,Melee,Daggers,Uncommon,0.4kg,65,1.5m,One-Handed,TRUE,TRUE,TRUE,1,Piercing,1d4,1d4,Necrotic,1d4,,,,,,Piercing Strike,Main Hand Attack,,,,Off-Hand Attack (Melee),,,2,TRUE,TRUE,Ritual Dagger of Shar is an uncommon +1 Dagger that deals an additional 1d4 Necrotic damage on a hit.,,Ritual Dagger of Shar,Sahuagin Longbow
Syringe (+1),,,Melee,Daggers,Uncommon,0.4kg,65,1.5m,One-Handed,TRUE,TRUE,TRUE,1,Piercing,1d4,1d4,,,,,,,,"Piercing Strike, Inject Nostrum",Main Hand Attack,Short Rest,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,Syringe is an uncommon +1 Dagger which grants the Inject Nostrum weapon action to non player characters only.,,Syringe (+1),Hellrider Longbow
Worgfang,,,Melee,Daggers,Uncommon,0.4kg,260,1.5m,One-Handed,TRUE,TRUE,TRUE,,Piercing,1d4,1d4,,,,,,,,Piercing Strike,Main Hand Attack,,Goblin's Undoing,,Off-Hand Attack (Melee),,,1,TRUE,TRUE,Worgfang is an uncommon dagger which grants the wielder defensive capabilities against Goblins. Any goblin attacking the wielder suffers Disadvantage on its Attack Rolls.,,Worgfang,Longbow +1
Cold Snap,,,Melee,Daggers,Rare,0.4kg,190,1.5m,One-Handed,TRUE,TRUE,TRUE,,Piercing,1d4,1d4,Cold,1d4,,,,,,Piercing Strike,Main Hand Attack,,Chilling Counter,Chilling Counter,Off-Hand Attack (Melee),,,3,TRUE,FALSE,Cold Snap is a rare Dagger which chills enemies that attack and miss the wielder; it also increases the wielder's Armour Class if used in the off-hand.,,Cold Snap,Spellthief
Dagger +2,,,Melee,Daggers,Rare,0.4kg,95,1.5m,One-Handed,TRUE,TRUE,TRUE,2,Piercing,1d4,1d4,,,,,,,,Piercing Strike,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Dagger +2 is a rare, moderately enchanted (+2) variant of the Daggers family of weapons. It is a simple melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.",,Dagger +2,Longbow +2
Dolor Amarus,,,Melee,Daggers,Rare,0.4kg,190,1.5m,One-Handed,TRUE,TRUE,TRUE,2,Piercing,1d4,1d4,,,,,,,,"Piercing Strike, Flourish, Lacerate",Main Hand Attack,,Dolor Amarus,,Off-Hand Attack (Melee),,,3,TRUE,TRUE,Dolor Amarus is a rare +2 dagger that deals 7 additional damage on a critical hit.,,Dolor Amarus,The Joltshooter
Dread Iron Dagger,,,Melee,Daggers,Rare,0.4kg,190,1.5m,One-Handed,TRUE,TRUE,TRUE,1,Piercing,1d4,1d4,,,,,,,,Piercing Strike,Main Hand Attack,,Dread Iron Ambush,,Off-Hand Attack (Melee),,,3,TRUE,TRUE,Dread Iron Dagger is a rare +1 Dagger that deals extra Necrotic damage while the wielder is Hidden.,,Dread Iron Dagger,Titanstring Bow
Gleamdance Dagger,,,Melee,Daggers,Rare,0.4kg,190,1.5m,One-Handed,TRUE,TRUE,TRUE,2,Piercing,1d4,1d4,,,,,,,,Piercing Strike,Main Hand Attack,,Gleamdance Dagger: Glowing,Gleamdancer,Off-Hand Attack (Melee),,,3,TRUE,TRUE,Gleamdance Dagger is a rare +2 Dagger that sheds light in a radius and increases the wielder's Armour Class if equipped in their off-hand.,,Gleamdance Dagger,The Dead Shot
Sussur Dagger,,,Melee,Daggers,Rare,0.4kg,80,1.5m,One-Handed,TRUE,TRUE,TRUE,1,Piercing,1d4,1d4,,,,,,,,Piercing Strike,Main Hand Attack,,,,Off-Hand Attack (Melee),,,1,TRUE,FALSE,"The Sussur Dagger is a Rare +1 Dagger which can Silence the targets it strikes, making it very useful against spellcasters.",,Sussur Dagger,Gontr Mael
Rhapsody,,,Melee,Daggers,Very Rare,0.4kg,480,1.5m,One-Handed,TRUE,TRUE,TRUE,1,Piercing,1d4,1d4,,,,,,,,Piercing Strike,"Scarlet Feast, Main Hand Attack",Long Rest,"Scarlet Remittance, Sweet Bloodletting",,Off-Hand Attack (Melee),,,3,TRUE,TRUE,"Rhapsody is a very rare +1 Dagger that grants better Attack Rolls, damage, and Spell Save DC for every foe slain (up to 3) and possibly inflicts Bleeding while the wielder is Hiding or Invisible.",,Rhapsody,
Stillmaker,,,Melee,Daggers,Very Rare,0.4kg,480,1.5m,One-Handed,TRUE,TRUE,TRUE,2,Piercing,1d4,1d4,,,,,Hold Person,3,Long Rest,"Piercing Strike, Pommel Strike, Lacerate",Main Hand Attack,,,,Off-Hand Attack (Melee),,,3,TRUE,TRUE,Stillmaker is a very rare +2 Dagger that grants the wielder the Hold Person spell once per Long Rest.,,Stillmaker,
Bloodthirst,,,Melee,Daggers,Story Item,0.4kg,640,1.5m,One-Handed,TRUE,TRUE,TRUE,2,Piercing,1d4,1d4,,,,,True Strike,,Short Rest,Piercing Strike,Main Hand Attack,,"Improved Critical, Exploit Weakness, True Strike Riposte",,Off-Hand Attack (Melee),,1,3,TRUE,FALSE,"Bloodthirst is a legendary +2 Dagger wielded by Orin which makes critical hits more likely and can make targets vulnerable to Piercing or more likely to be hit, depending on which hand the weapon is equipped on.",,Bloodthirst,
Cleaver,,,Melee,Handaxes,Common,0.9kg,16,1.5m,One-Handed,FALSE,TRUE,TRUE,,Slashing,1d6,1d6,,,,,,,,Lacerate,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,Cleaver is a common variant of the Handaxes family of weapons. It is a simple melee weapon wielded in one hand.,,Cleaver,
Rusty Handaxe,,,Melee,Handaxes,Common,0.9kg,2,1.5m,One-Handed,FALSE,TRUE,TRUE,,Slashing,1d6,1d6,,,,,,,,Lacerate,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,Rusty Handaxe is a common variant of the Handaxes family of weapons. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.,,Rusty Handaxe,
Dad's Axe,,,Melee,Handaxes,Common,0.9kg,16,1.5m,One-Handed,FALSE,TRUE,TRUE,,Slashing,1d6,1d6,,,,,,,,Lacerate,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Dad's Axe is a mundane, nonmagical variant of the Handaxes family of weapons. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.",,Dad's Axe,
Handaxe,,,Melee,Handaxes,Common,0.9kg,16,1.5m,One-Handed,FALSE,TRUE,TRUE,,Slashing,1d6,1d6,,,,,,,,Lacerate,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Handaxe is a mundane, nonmagical variant of the Handaxes family of weapons. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.",,Handaxe,
Comeback Handaxe,,,Melee,Handaxes,Uncommon,0.9kg,1,1.5m,One-Handed,FALSE,TRUE,TRUE,1,Slashing,1d6,1d6,,,,,,,,Lacerate,Main Hand Attack,,,,Off-Hand Attack (Melee),,,3,TRUE,TRUE,"Comeback Handaxe is an uncommon, lightly enchanted (+1) variant of the Handaxes family of weapons. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.",,Comeback Handaxe,
Dragon's Grasp,,,Melee,Handaxes,Uncommon,0.9kg,65,1.5m,One-Handed,FALSE,TRUE,TRUE,,Slashing,1d6,1d6,,,,,,,,Lacerate,Main Hand Attack,,Burned Alive,,Off-Hand Attack (Melee),,,1,TRUE,TRUE,Dragon's Grasp is an uncommon Handaxe that deals extra Slashing damage to Burning targets.,,Dragon's Grasp,
Handaxe +1,,,Melee,Handaxes,Uncommon,0.9kg,40,1.5m,One-Handed,FALSE,TRUE,TRUE,1,Slashing,1d6,1d6,,,,,,,,Lacerate,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Handaxe +1 is an uncommon, lightly enchanted (+1) variant of the Handaxes family of weapons. It is a simple melee weapon wielded in one hand. Its design lends itself well to be thrown at enemies as a projectile.",,Handaxe +1,
Ritual Axe,,,Melee,Handaxes,Uncommon,0.9kg,280,1.5m,One-Handed,FALSE,TRUE,TRUE,,Slashing,1d6,1d6,,,,,,,,Lacerate,Main Hand Attack,,The Scourge Mistress' Bane,,Off-Hand Attack (Melee),,,1,TRUE,TRUE,Ritual Axe is an uncommon Handaxe which inflicts Bane against the wielder's targets.,,Ritual Axe,
BOOOAL's Arms,,,Melee,Javelins,Common,0.9kg,10,1.5m,One-Handed,FALSE,FALSE,TRUE,,Piercing,1d7,1d7,,,,,,,,Piercing Strike,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,BOOOAL's Arms is a common variant of the Javelins family of weapons. It is a simple melee weapon wielded in one hand. Its design lends itself well to be thrown at enemies as a projectile.,,BOOOAL's Arms,
Javelin,,,Melee,Javelins,Common,0.9kg,10,1.5m,One-Handed,FALSE,FALSE,TRUE,,Piercing,1d8,1d8,,,,,,,,Piercing Strike,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Javelin is a mundane, nonmagical variant of the Javelins family of weapons. It is a simple melee weapon wielded in one hand. Its design lends itself well to be thrown at enemies as a projectile.",,Javelin,
Javelin +1,,,Melee,Javelins,Uncommon,0.9kg,10,1.5m,One-Handed,FALSE,FALSE,TRUE,1,Piercing,1d6,1d6,,,,,,,,Piercing Strike,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Javelin +1 is an uncommon, lightly enchanted (+1) variant of the Javelins family of weapons. It is a simple melee weapon wielded in one hand. Its design lends itself well to be thrown at enemies as a projectile.",,Javelin +1,
Light Hammer,,,Melee,Light Hammers,Common,0.9kg,40,1.5m,One-Handed,FALSE,TRUE,TRUE,,Bludgeoning,1d4,1d4,,,,,,,,Concussive Smash,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Light Hammer is a mundane, nonmagical variant of the Light Hammers family of weapons. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.",,Light Hammer,
Rusty Light Hammer,,,Melee,Light Hammers,Common,0.9kg,3,1.5m,One-Handed,FALSE,TRUE,TRUE,,Bludgeoning,1d4,1d4,,,,,,,,Concussive Smash,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Rusty Light Hammer is a mundane, nonmagical variant of the Light Hammers family of weapons. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.",,Rusty Light Hammer,
Light Hammer +1,,,Melee,Light Hammers,Uncommon,0.9kg,40,1.5m,One-Handed,FALSE,TRUE,TRUE,1,Bludgeoning,1d4,1d4,,,,,,,,Concussive Smash,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Light Hammer +1 is an uncommon, lightly enchanted (+1) variant of the Light Hammers family of weapons. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.",,Light Hammer +1,
Shining Staver-of-Skulls,,,Melee,Light Hammers,Uncommon,0.9kg,65,1.5m,One-Handed,FALSE,TRUE,TRUE,1,Bludgeoning,1d4,1d4,Bludgeoning,1,Radiant,1d4,,,,Concussive Smash,Main Hand Attack,,,,Off-Hand Attack (Melee),,,1,TRUE,FALSE,Shining Staver-of-Skulls is an uncommon +1 Light Hammer that sheds Light in a radius around the wielder.,,Shining Staver-of-Skulls,
