Name,Image,Cost 1,Cost 2,Cost #,Cost 3,Cost on Hit 1,Cost on Hit 2,Cantrip,Spell,Concentration,Ritual,DMG1,DMG1 Type,DMG2,DMG2 Type,DMG3,DMG3 Type,DMG4,DMG4 Type,DMG5,DMG5 Type,DMG6,DMG6 Type,Range,Area,Area Type,Push,Pull,Special WA,WA,Illithid Power,Attack Roll Type,On Miss,Attack Type,Recharge,School,Spell Level,ST Ability,ST Base DC,ST DC Type,Half DMG on Save,On Save,Condition 1,Condition 1 ST Ability,Condition 1 Base DC,Condition 1 DC Type,Condition 1 Duration,Condition 2,Condition 2 ST Ability,Condition 2 Base DC,Condition 2 DC Type,Condition 2 Duration,Additional DMG per Spell Level,DMG User Level 1,DMG Increase 1,DMG User Level 2,DMG Increase 2,DMG User Level 3,DMG Increase 3,Additional DMG Type,Additional Target Per Spell Level,Subactions,Areas,Creatures,Items,Healing,Targets,Desc1,Desc2,Levels,,,,Spells,Non Spells,Cantrips,Illithid Powers,Weapon Actions
Adjust Seeming,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,FALSE,,Disguise Self,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,Self,Adjust Seeming is a class action that allows the user to change their appearance a single time after Seeming has been cast on them.,Select a different appearance.,,,,,Animate Dead: Ghoul Pack,Arachnid Compulsion,Entangle (Dryad),Favourable Beginnings,Crowning Strike
Aid,,Action,Level 2 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,9.0m,Radius,,,FALSE,FALSE,FALSE,,,,,Abjuration,2,,,,FALSE,,Aid (5),,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,Self,Aid is a level 2 abjuration spell. It allows spellcasters to heal and embolden their allies and themselves with resolve. Affected creatures have their maximum Hit Points increased for the duration of the spell.,Bolster your allies with toughness and resolve to heal and increase their Hit Points maximum.,Upcasting: Casting this spell at a higher level increases the target's maximum health by an additional 5⁠hit points for each spell slot level above 2nd.,,,,Animate Dead: Skeleton,Arcane Recovery,Fiery Bolt,Fierce Perilous Stakes,Dawnburst Strike
An Apple a Day,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,Strange Ox,,,,An Apple a Day is a unique Class Action only available during the Confront the Elder Brain quest that allows you to summon Zlorb to aid you in battle.,Summon Zlorb - a shapeshifting monstrosity that can adopt the aspect of several monsters and beasts. Available only in combat.Dismissed after combat until re-summoned.Can't be summoned again if killed in combat.,,,,,Animate Dead: Skeleton Squad,Arcane Shot: Banishing Arrow,Fire Bolt,Fly (Illithid Power),Dazzling Ray
Animal Friendship,,Action,Level 1 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Enchantment,1,,,,FALSE,,Charmed,WIS,,Spell Save DC,10 Turns,,,,,,,,,,,,,,TRUE,,,,,,,"Animal Friendship is a level 1 enchantment spell. It charms a beast, convincing it the caster means no harm.","Convince a beast not to attack you. The creature must have an Intelligence of 4 or less.Condition ends early if you or an ally hurts the target.In higher difficulty modes, the target might become hostile when the spell ends.",Upcasting: Affects an additional target for each spell slot level above 1st.,,,,Animate Dead: Zombie,Arcane Shot: Beguiling Arrow,Firebolt?,Force Tunnel,Disarming Strike
Animate Dead,,Action,Level 3 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,3.0m,,,,,FALSE,FALSE,FALSE,,,,,Necromancy,3,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,"Animate Dead: Flying Ghoul, Animate Dead: Flying Ghoul Flock, Animate Dead: Ghoul, Animate Dead: Ghoul Pack, Animate Dead: Skeleton, Animate Dead: Skeleton Squad, Animate Dead: Zombie, Animate Dead: Zombie Batallion",,,,,,Animate Dead is a level 3 necromancy spell. It allows spellcasters to animate a corpse to create an undead servant.,Animate a corpse to create an undead servant while not in combat. The target must be a Medium or Small corpse.,"When the spell is cast at 4th Level, raise up to 3 Skeletons or Zombies instead of 1. When the spell is cast at 5th Level, raise a Ghoul or Flying Ghoul. When the spell is cast at 6th Level, raise up to 3 Ghouls or Flying Ghouls instead of 1.",,,,Animate Dead: Zombie Batallion,Arcane Shot: Bursting Arrow,Friends,Fracture Psyche,Edge of Darkness
Animate Dead (Balthazar),,Action,Level 6 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,22.0m,,,,,FALSE,FALSE,FALSE,,,,,Necromancy,6,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,Zombie,,,,"Animate Dead is a level 6 necromancy spell. This a unique variant of Animate Dead that is cast by Balthazar when fought in Nightsong's Prison. When cast, this spell reanimates the many surrounding piles of bones into an army of skeletons. It cannot be learned by players and is only used by NPCs.",Awaken the dead from their century-long slumber.,Casting this spell at a higher level grants no additional benefit.,,,,Arabella's Shadow Entangle,Arcane Shot: Enfeebling Arrow,Guidance,Freecast,Electrified Flail
Animate Dead (Duergar),,Action,Level 4 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,22.0m,8.0m,Radius,,,FALSE,FALSE,FALSE,,,,,Necromancy,4,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,Reanimated Corpse,,,,Animate Dead is a level 4 necromancy spell. Gekh Coal uses this spell to animate a pile of corpses at the Underdark Beach. It cannot be learned by players and is only used by NPCs.,Animate a pile of bones or a corpse to serve you. The target must be a Medium or Small corpse.,Casting this spell at a higher level grants no additional benefit.,,,,Arcane Gate,Arcane Shot: Grasping Arrow,Hellflame Cleave,Illithid Expertise,Gargantuan Cleave
Animate Dead: Flying Ghoul,,Action,Level 5 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,3.0m,,,,,FALSE,FALSE,FALSE,,,,,Necromancy,5,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,Flying Ghoul,,,Medium or Small corpse,"Animate Dead: Flying Ghoul is a level 5 necromancy spell. This spell allows spellcasters to animate a corpse to create a Flying Ghoul. Requires a corpse, and lasts until long rest.",Create a Flying Ghoul that specialises in melee combat. The target must be a Medium or Small corpse.,Casting this spell at a higher level grants no additional benefit.,,,,Arcane Lock,Arcane Shot: Piercing Arrow,Invisibility (Duergar),Levitate (Illithid Power),Grand Slam
Animate Dead: Flying Ghoul Flock,,Action,Level 6 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,9.0m,,,,,FALSE,FALSE,FALSE,,,,,Necromancy,6,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,Flying Ghoul,,,3 Small or Medium corpses,"Animate Dead: Flying Ghoul Flock is a level 6 necromancy spell. This spell is a higher level version of Animate Dead: Flying Ghoul that can summon 3 Flying Ghouls instead of 1. Accordingly, the user must also target 3 corpses for this instead of 1.",Create 3 Flying Ghouls that specialise in melee combat. The targets must be Medium or Small corpses.,Casting this spell at a higher level grants no additional benefit.,,,,Armour of Agathys,Arcane Shot: Seeking Arrow,Light,Luck of the Far Realms,Hamstring Shot
Animate Dead: Ghoul,,Action,Level 5 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,3.0m,,,,,FALSE,FALSE,FALSE,,,,,Necromancy,5,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,Ghoul (Animate Dead),,,,"Animate Dead: Ghoul is a level 5 necromancy spell. This spell allows spellcasters to animate a corpse to create a Ghoul (Animate Dead). Requires a corpse, and lasts until long rest.",Create a ghoul that specializes in melee combat. The target must be a Medium or Small corpse.,Casting this spell at a higher level grants no additional benefit.,,,,Arms of Hadar,Arcane Shot: Shadow Arrow,Mage Hand,Mind Blast,Heartstopper
Animate Dead: Ghoul Pack,,Action,Level 6 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,9.0m,,,,,FALSE,FALSE,FALSE,,,,,Necromancy,6,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,Ghoul (Animate Dead),,,3 Small or Medium corpses,"Animate Dead: Ghoul Pack is a level 6 necromancy spell. This spell is a higher level version of Animate Dead: Ghoul that can summon 3 Ghouls instead of 1. Accordingly, the user must also target 3 corpses for this instead of 1.",Create 3 Ghouls that specialise in melee combat. The targets must be a Medium or Small corpse.,Casting this spell at a higher level grants no additional benefit.,,,,Astral Rift,Astral Knowledge,Minor Illusion,Mind Sanctuary,Hiemal Strike
Animate Dead: Skeleton,,Action,Level 3 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,3.0m,,,,,FALSE,FALSE,FALSE,,,,,Necromancy,3,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,Skeleton (Animate Dead),,,Medium or Small corpse,"Animate Dead: Skeleton is a level 3 necromancy spell. This spell allows spellcasters to animate a corpse to create a Skeleton that focuses on ranged weaponry. They must target a corpse, and the skeleton lasts until killed or until the next long rest.",Create a skeleton that specialises in ranged combat. The target must be a Medium or Small corpse.,Casting this spell at a higher level grants no additional benefit.,,,,Bane,Astral Knowledge: Charisma,Moonmote,Nebulous Black Hole,Hush You!
Animate Dead: Skeleton Squad,,Action,Level 4 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,9.0m,,,,,FALSE,FALSE,FALSE,,,,,Necromancy,4,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,Skeleton (Animate Dead),,,3 Medium or Small corpses,"Animate Dead: Skeleton Squad is a level 4 necromancy spell. This spell is a higher level version of Animate Dead: Skeleton that can summon 3 Skeletons instead of 1. Accordingly, the user must also target 3 corpses for this instead of 1.",Create 3 Skeletons that specialise in ranged combat. The targets must be Medium or Small corpses.,Casting this spell at a higher level grants no additional benefit.,,,,Banishing Smite,Astral Knowledge: Dexterity,Poison Spray,Perilous Stakes,Incise Ligaments
Animate Dead: Zombie,,Action,Level 3 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,3.0m,,,,,FALSE,FALSE,FALSE,,,,,Necromancy,3,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,Zombie (Animate Dead),,,Medium or Small corpse,"Animate Dead: Zombie is a level 3 necromancy spell. This spell allows spellcasters to animate a corpse to create a Zombie that specializes in melee combat. They must target a corpse, and the zombie lasts until killed or the next long rest.",Create a zombie that specialises in melee combat. The target must be a Medium or Small corpse.,Casting this spell at a higher level grants no additional benefit.,,,,Banishing Smite (Melee),Astral Knowledge: Intelligence,Produce Flame,Potent Concentrated Blast,Inject Nostrum
Animate Dead: Zombie Batallion,,Action,Level 4 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,9.0m,,,,,FALSE,FALSE,FALSE,,,,,Necromancy,4,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,Zombie (Animate Dead),,,3 Medium or Small corpses,"Animate Dead: Zombie Batallion is a level 4 necromancy spell. This spell is a higher level version of Animate Dead: Zombie that can summon 3 Zombies instead of 1. Accordingly, the user must also target 3 corpses for this instead of 1.",Create 3 zombies that specialise in melee combat. The targets must be Medium or Small corpses.,Casting this spell at a higher level grants no additional benefit.,,,,Banishing Smite (Ranged),Astral Knowledge: Strength,Produce Flame: Dismiss,Psionic Backlash,Lacerate
Animating Spores,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,3.0m,,,,,FALSE,FALSE,FALSE,,,,Per Turn,,,,,,FALSE,,Spore Servant,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,"Corpse of a monstrosity, humanoid, or beast","Animating Spores is a special class action available to Glut and Spaw which allows them to reanimate a corpse and have it fight by their side. The reanimated creature retains all of its actions, though it cannot use spellcasting.","Release spores at a corpse to animate it as a spore servant under your command. Only affects one target at a time.No effect on corpses of constructs, plants, or aberrations.",,,,,Banishment,Astral Knowledge: Wisdom,Produce Flame: Hurl,Psionic Dominance,Maiming Strike
Animus Screech,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,4d6,Psychic,,,,,,,,,,,1.5m,,,3.0m,,FALSE,FALSE,FALSE,,,,,,,,,,TRUE,,Confused,WIS,9,,2 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Animus Screech is a class action used by Tormented Soul on Tactician difficulty or higher.,"Screech into your target's soul, wounding them and possibly inflicting Confused Can only have temporary hit points from one source.",,,,,Barkskin,Augmented Shield of Thralls,Psychic Rend,Psionic Overload,Mellow Harmony
Arabella's Shadow Entangle,,Action,,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Conjuration,1,STR,,Spell Save DC,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,Twisting Vines,,,,,Arabella's Shadow Entangle is a level 1 conjuration spell. It allows a character to entangle Undead and shadow creatures.,Cast this upon shadow and undead creatures to Entangle them. The entangling surface can affect any creatures who move through it.,Casting this spell at a higher level grants no additional benefit.,,,,Beacon of Hope,Aura of Terror,Ray of Frost,Repulsor (Illithid Power),Moonlight Butterflies
Arachnid Compulsion,,Bonus Action,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,10.0m,,,,,FALSE,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,Arachnid Compulsion is a legendary action available to Dror Ragzlin in Honour mode.,Take control of nearby spiders with a borrowed piece of drow magic.,,,,,Bear's Endurance,Awaken,Reach from Beyond,Shield of Thralls,Part the Flesh
Arcane Gate,,Action,Level 6 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Conjuration,6,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,2 points within range of the caster,Arcane Gate is a level 6 conjuration spell. It creates two connected portals which allow creatures to freely teleport between them.,"Create two linked teleportation portals within range. All creatures, including enemies, may travel between the two portals as a free action.",Casting this spell at a higher level grants no additional benefit.,,,,Bestow Curse,Backbreaker,Resistance,Stage Fright,Piercing Shot
Arcane Lock,,Action,Level 2 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,,,,,Abjuration,2,,,,FALSE,,Arcane Lock,,,,10 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Arcane Lock is a level 2 abjuration spell. It allows spellcasters to magically lock a container.,Close a door or container with a magical lock. It can no longer be lockpicked or opened with Knock.,Casting this spell at a higher level grants no additional benefit.,,,,Bestow Curse: Additional Damage,Bad Omen,Sacred Flame,Strengthened Force Tunnel,Piercing Strike
Arcane Recovery,,Action,Arcane Recovery Charge,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,Self,"Arcane Recovery is a Wizard class action. This ability allows you to regain half your wizard level, rounded up, in spell slots once per day.",Replenish Spell Slots while out of combat. You cannot restore spell slots above 5th level.,"At level 3, unlock the ability to spend an  Action +  2 Arcane Recovery Charges to replenish a  Level 2 Spell Slot. At level 5, unlock the ability to spend an  Action +  3 Arcane Recovery Charges to replenish a  Level 3 Spell Slot. At level 7, unlock the ability to spend an  Action +  4 Arcane Recovery Charges to replenish a  Level 4 Spell Slot. At level 9, unlock the ability to spend an  Action +  5 Arcane Recovery Charges to replenish a  Level 5 Spell Slot.",,,,Bestow Curse: Attack Disadvantage,Balm of the Moonmaiden,Selûne's Dream,Survival Instinct,Profane Scourge
Arcane Shot: Banishing Arrow,,Action,,,,Arcane Arrow,,FALSE,FALSE,FALSE,FALSE,WD,Weapon,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,Ranged,,Ranged,,,,,,,FALSE,,Banished,CHA,,Spell Save DC,2 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Arcane Shot: Banishing Arrow is a special arcane arrow attack available to Arcane Archers which can potentially banish the target temporarily to a different plane of existence.,Use Abjuration magic to potentially Banish your target to the Feywild.,,,,,Bestow Curse: Charisma Disadvantage,Bane's Wrath,Shocking Grasp,Synaptic Consumption,Pushing Attack (Ranged)
Arcane Shot: Beguiling Arrow,,Action,,,,Arcane Arrow,,FALSE,FALSE,FALSE,FALSE,WD,Weapon,2d6,Psychic,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,Ranged,,Ranged,,,,,,,FALSE,,Charmed,WIS,,Spell Save DC,2 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Arcane Shot: Beguiling Arrow is a special arcane arrow attack available to Arcane Archers which deals an extra 2d6⁠Psychic damage and potentially charms the target.,Use Enchantment magic to deal an additional 2d6⁠Psychic damage. Target must succeed a Saving throw or become Charmed.,,,,,Bestow Curse: Constitution Disadvantage,Barbed Vine,Thaumaturgy,Tentacle Whip (Full-illithid),Razor Gale
Arcane Shot: Bursting Arrow,,Action,Arcane Arrow,,,,,FALSE,FALSE,FALSE,FALSE,WD,Weapon,2d6,Force,,,,,,,,,18.0m,5.0m,Radius,,,FALSE,FALSE,FALSE,Ranged,Arrow does not explode and Arcane Arrow cost is refunded,Ranged,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,Arcane Shot: Bursting Arrow is a special arcane arrow attack available to Arcane Archers which deals 2d6⁠Force damage in a small radius around the target in addition to normal weapon damage.,Use Evocation magic to make your arrow explode on impact and deal an additional 2d6⁠Force damage to targets within 5 m / 17 ft.,,,,,Bestow Curse: Dexterity Disadvantage,Battle-Ready Owlbear,Thorn Whip,Transfuse Health,Reaper's Scythe
Arcane Shot: Enfeebling Arrow,,Action,Arcane Arrow,,,Arcane Arrow,,FALSE,FALSE,FALSE,FALSE,WD,Weapon,2d6,Necrotic,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,Ranged,,Ranged,,,,,,,FALSE,,Feeble,CON,,Spell Save DC,2 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Arcane Shot: Enfeebling Arrow is a special arcane arrow attack available to Arcane Archers which deals an extra 2d6⁠Necrotic damage and possibly weakens the target.,Use Necromatic magic to deal an additional 2d6⁠Necrotic damage. Target must succeed a Saving throw or become Feeble.,,,,,Bestow Curse: Dread,Beak Attack (Dire Raven),Toll the Dead,,Reposition Malefactor
Arcane Shot: Grasping Arrow,,Action,Arcane Arrow,,,Arcane Arrow,,FALSE,FALSE,FALSE,FALSE,WD,Weapon,2d6,Poison,2d6,Slashing,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,Ranged,,Ranged,,,,STR,,Spell Save DC,FALSE,,Grasping Arrow: Entangled,WIS,,Spell Save DC,10 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Arcane Shot: Grasping Arrow is a special arcane arrow attack available to Arcane Archers which deals an extra 2d6⁠Poison damage and hinders the target's movement.,Deal an additional 2d6⁠Poison damage. Affected entity's movement speed is reduced by 3 m / 10 ft and it will take 2d6⁠Slashing damage when it moves.,,,,,Bestow Curse: Intelligence Disadvantage,Beak Attack (Raven Familiar),True Strike,,Revitalising Strike
Arcane Shot: Piercing Arrow,,Action,Arcane Arrow,,,,,FALSE,FALSE,FALSE,FALSE,WD,Weapon,1d6,Weapon,,,,,,,,,,10.0m,Line,,,FALSE,FALSE,FALSE,,,,,,,DEX,,Spell Save DC,TRUE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,Self,Arcane Shot: Piercing Arrow is a special arcane arrow attack available to Arcane Archers which hits all targets within a line and deals 1d6⁠Piercing extra damage.,Use Transmutation magic to attack all those within the line of your shot. Each target must succeed a Saving throw or be dealt an additional 1d6⁠Piercing damage.,,,,,Bestow Curse: Strength Disadvantage,Beak Attack (Shadow-Cursed Raven),Veil of the Weird,,Rush Attack
