id,name,wikiUrl,imageRemote,imageLocal,effect,prerequisite,category
astartes-power-boots,Astartes Power Boots,https://roguetrader.wiki.fextralife.com/Astartes+Power+Boots,,,The Kick ability costs 0 AP and deals an additional XX damage.,,boots
bladed-boots,Bladed Boots,https://roguetrader.wiki.fextralife.com/Bladed+Boots,,,"Whenever the wearer hits an opening with the Charge, Slash, or Danse Macabre abilities, they inflict bleeding (10) on the target.",,boots
bladedancer-s-greaves,Bladedancer's Greaves,https://roguetrader.wiki.fextralife.com/Bladedancer's+Greaves,,,Moving through cells affected by Raining Blood or blood phial costs the wearer -50% MP less.,,boots
bladedancer-s-light-greaves,Bladedancer's Light Greaves,https://roguetrader.wiki.fextralife.com/Bladedancer's+Light+Greaves,,,Moving through cells affected by Raining Blood or blood phial costs the wearer 0 MP.,,boots
boots-of-decay,Boots of Decay,https://roguetrader.wiki.fextralife.com/Boots+of+Decay,,,"Each time the wearer uses a major psychic power, all enemies in their line of sight lose 30% of their deflection until the start of the wearer's next turn.",,boots
boots-of-kasrkin,Boots of Kasrkin,https://roguetrader.wiki.fextralife.com/Boots+of+Kasrkin,,,"When in cover, the wearer has 100% cover efficiency against area attacks but never dodges them. Also, they suffer -50% less damage from area attacks. Whenever the wearer uses a grenade and it hits at least 3 enemies at once for the first time in combat, this action does not spend AP.",,boots
breacher-boots,Breacher Boots,https://roguetrader.wiki.fextralife.com/Breacher+Boots,,,Whenever the wearer's area attack damages at least two enemies within a 2-cell radius from the wearer the wearer gains the Kick ability costing 0 AP to use until the end of their turn.,,boots
caligae-of-saint-keefe,Caligae of Saint Keefe,https://roguetrader.wiki.fextralife.com/Caligae+of+Saint+Keefe,,,"Whenever the wearer performs a heroic act or a desperate measure, they recover all their wounds and gain +2 AP this turn.",,boots
chirurgeon-s-boots,Chirurgeon's Boots,https://roguetrader.wiki.fextralife.com/Chirurgeon's+Boots,,,"At the beginning of combat, the wearer gets the Medikit and Onslaught abilities, which reproduce the effect of the medikit and onslaught consumables, costing 0 AP. Each of these abilities can only be used once per combat.",,boots
commissar-boots,Commissar Boots,https://roguetrader.wiki.fextralife.com/Commissar+Boots,,,"Whenever the wearer chooses an ally as the target of their ability, the wearer immediately gains +XX MP. The targeted ally gains +XX MP at the start of this ally's next turn.",,boots
dancing-on-blood,Dancing on Blood,https://roguetrader.wiki.fextralife.com/Dancing+on+Blood,,,"Once per turn, after the wearer uses Blood Oath or Oath of Vengeance, they gain +1 use of Dash, costing 0 AP, until the end of their turn. After using this Dash ability. the wearer regains MP equal to their resolve.",,boots
deadly-dancer-boots,Deadly Dancer Boots,https://roguetrader.wiki.fextralife.com/Deadly+Dancer+Boots,,,"Whenever the wearer's MP reach 0, the wearer deals XX impact damage to all adjacent enemies.",,boots
defensive-boots,Defensive Boots,https://roguetrader.wiki.fextralife.com/Defensive+Boots,,,"If the wearer did not spend MP during their turn, they double their cover efficiency in half-cover until the end of the wearer's next turn.",,boots
enforcer-light-boots,Enforcer Light Boots,https://roguetrader.wiki.fextralife.com/Enforcer+Light+Boots,,,"Whenever the wearer parries an attack, they immediately strike back at the attacker. If this attack deals damage, the wearer performs Kick to push the enemy away.",,boots
fencing-boots,Fencing Boots,https://roguetrader.wiki.fextralife.com/Fencing+Boots,,,"The wearer gains +XX% parry when using swords. Whenever the wearer parries with a sword, they immediately counter attack, causing the attacking enemy to become staggered. If the attacker is staggered, the wearer's parry is increased by +XX%.",,boots
freerunner-boots,Freerunner Boots,https://roguetrader.wiki.fextralife.com/Freerunner+Boots,,,The wearer becomes immune to the slowed and immobilised effects.,,boots
greaves-of-the-black-archon,Greaves of the Black Archon,https://roguetrader.wiki.fextralife.com/Greaves+of+the+Black+Archon,,,"Every time the wearer scores a critical hit with a melee weapon, they restore (Agility bonus / 2) wounds and gain +2 MP. +15% critical damage.",,boots
heavy-breacher-s-boots,Heavy Breacher's Boots,https://roguetrader.wiki.fextralife.com/Heavy+Breacher's+Boots,,,"After the wearer makes an area attack, they gain +4 MP and can continue their movement.",,boots
improved-lightweight-boots,Improved Lightweight Boots,https://roguetrader.wiki.fextralife.com/Improved+Lightweight+Boots,,,The wearer of these boots gains +XX% parry and re-rolls failed dodge tests.,,boots
martyr-boots,Martyr Boots,https://roguetrader.wiki.fextralife.com/Martyr+Boots,,,"The wearer can move through cells adjacent to enemies spending the normal amount of movement points. Also, the wearer gains momentum equal to their resolve each time they suffer damage from attacks of opportunity.",,boots
navy-breacher-boots,Navy Breacher Boots,https://roguetrader.wiki.fextralife.com/Navy+Breacher+Boots,,,"When the wearer's area attack damages at least two enemies within a 2-cell radius from the wearer for the first time during the round, the wearer gains +2 AP, and this attack does not count toward their attack limit. The wearer then becomes immobilised until the start of their next turn.",,boots
pyromaniac-boots,Pyromaniac Boots,https://roguetrader.wiki.fextralife.com/Pyromaniac+Boots,,,The wearer cannot suffer the burning effect by walking over burning cells. The wearer inflicts +3 additional stacks of burning whenever they stand on burning cells.,,boots
reinforced-boots,Reinforced Boots,https://roguetrader.wiki.fextralife.com/Reinforced+Boots,,,These boots grant their wearer +5 Toughness. Collision damage caused by the wearer is increased by +XX.,,boots
skirmisher-boots,Skirmisher Boots,https://roguetrader.wiki.fextralife.com/Skirmisher+Boots,,,"Whenever the wearer deals damage to an enemy, the wearer has a 25% chance to gain 2 MP.",,boots
swift-shadows,Swift Shadows,https://roguetrader.wiki.fextralife.com/Swift+Shadows,,,"Once per turn, after the wearer uses Blood Oath or Oath of Vengeance, they gain +1 use of Dash, costing 0 AP, until the end of their turn.",,boots
tactical-boots,Tactical Boots,https://roguetrader.wiki.fextralife.com/Tactical+Boots,,,"Whenever an enemy attempts to make an attack of opportunity against the wearer, that enemy is pushed back by 1 cell before the attack is able to hit the wearer.",,boots
tracking-boots,Tracking Boots,https://roguetrader.wiki.fextralife.com/Tracking+Boots,,,"Whenever the wearer's Hot on the Trail extra turn is triggered, the wearer gains + 1 AP and +AGI bonus MP for this extra turn.",,boots
void-veteran-boots,Void Veteran Boots,https://roguetrader.wiki.fextralife.com/Void+Veteran+Boots,,,"Whenever the wearer kills an enemy with their melee attack, they immediately gain +1 use of Charge costing 0 AP (even if they do not have this ability).",,boots
wear-resistant-boots,Wear-Resistant Boots,https://roguetrader.wiki.fextralife.com/Wear-Resistant+Boots,,,Grant +5 Agility and +XX% dodge against attacks of opportunity.,,boots
windrunner-boots,Windrunner Boots,https://roguetrader.wiki.fextralife.com/Windrunner+Boots,,,"Whenever an enemy moves to a cell adjacent to the wearer for the first time in round, the wearer immediately gains an extra turn with 3 MP and 0 AP. The wearer does not provoke attacks of opportunity during this turn.",,boots
